,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.31,0.15,1.0,0.39,0.1,0.39,0.0,0.21,0.18,0.24,0.21
arsenal-1.csv,0.26,0.81,0.0,0.0,0.17,0.1,0.2,0.3,0.06,0.03,0.0
barracudamvc.csv,0.99,1.0,0.91,1.0,0.76,0.92,1.0,0.7,0.94,0.64,0.79
cascading.csv,0.35,0.37,0.45,0.48,0.27,0.2,0.5,0.45,1.0,0.34,0.48
emisview.csv,0.21,0.0,0.5,0.96,0.1,0.12,0.1,0.24,0.31,0.13,0.1
jitterbit.csv,0.55,0.48,0.45,0.39,0.12,0.94,0.2,0.15,0.27,0.09,0.72
jppf-project.csv,0.91,0.96,0.73,0.78,0.59,0.56,0.9,1.0,0.97,0.64,0.93
mevenide.csv,0.57,0.22,0.55,0.7,0.46,0.7,0.6,0.64,0.17,0.53,0.97
mycila.csv,0.41,0.44,0.45,0.22,0.54,0.17,1.0,0.21,0.43,0.45,0.1
ontopia.csv,0.71,0.56,0.23,0.7,0.95,0.42,0.6,0.72,0.57,0.97,0.66
trackit.csv,0.42,0.33,0.05,0.13,0.93,0.33,0.4,0.29,0.28,0.54,0.48
