,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.87,0.67,1.0,0.53,0.8,0.57,0.0,0.95,0.84,0.75,0.5
arsenal-1.csv,0.84,1.0,0.0,0.0,0.7,0.26,0.1,0.88,0.78,0.67,0.0
barracudamvc.csv,1.0,0.48,0.4,0.31,0.62,0.27,0.2,0.91,0.77,0.86,0.22
cascading.csv,0.95,0.71,0.62,0.34,0.52,0.24,0.22,0.93,1.0,0.81,0.3
emisview.csv,0.96,0.0,0.73,1.0,0.8,0.37,0.2,0.88,0.8,0.77,0.13
jitterbit.csv,0.82,0.5,0.56,0.43,0.71,0.98,0.08,0.93,0.82,0.88,0.3
jppf-project.csv,0.85,0.47,0.41,0.27,0.67,0.21,0.19,1.0,0.78,0.83,0.25
mevenide.csv,0.82,0.35,0.46,0.27,0.66,0.35,0.2,0.91,0.8,0.82,1.0
mycila.csv,0.86,0.44,0.53,0.23,0.61,0.19,0.91,1.0,0.82,0.81,0.12
ontopia.csv,0.82,0.39,0.29,0.31,0.67,0.17,0.43,0.92,0.74,0.99,0.21
trackit.csv,0.77,0.41,0.17,0.2,0.97,0.16,0.29,0.93,0.8,0.89,0.24
