,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.46,0.24,1.0,0.45,0.17,0.46,0.0,0.34,0.3,0.36,0.29
arsenal-1.csv,0.39,0.9,0.0,0.0,0.27,0.15,0.13,0.45,0.11,0.05,0.0
barracudamvc.csv,1.0,0.65,0.56,0.47,0.68,0.41,0.33,0.79,0.85,0.74,0.34
cascading.csv,0.51,0.49,0.53,0.4,0.35,0.22,0.3,0.6,1.0,0.48,0.37
emisview.csv,0.34,0.0,0.59,0.98,0.17,0.18,0.13,0.38,0.44,0.22,0.12
jitterbit.csv,0.66,0.49,0.5,0.41,0.21,0.96,0.11,0.26,0.41,0.17,0.42
jppf-project.csv,0.88,0.63,0.52,0.4,0.62,0.31,0.31,1.0,0.86,0.73,0.39
mevenide.csv,0.67,0.27,0.5,0.39,0.54,0.47,0.3,0.75,0.28,0.64,0.98
mycila.csv,0.55,0.44,0.49,0.22,0.57,0.18,0.95,0.34,0.56,0.58,0.11
ontopia.csv,0.76,0.46,0.26,0.43,0.79,0.24,0.5,0.8,0.64,0.98,0.32
trackit.csv,0.54,0.37,0.07,0.16,0.95,0.22,0.33,0.45,0.42,0.67,0.32
