,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.66,0.23,0.59,0.44,0.69,0.3,0.27,0.34,0.44,0.6,0.36
gamestone.csv,0.04,0.13,0.11,0.35,0.34,0.0,0.04,0.4,0.33,0.23,0.06
gbif-providertoolkit.csv,0.85,0.87,0.51,0.51,0.25,1.0,0.8,0.39,0.52,0.67,0.75
heekscad.csv,0.28,0.25,0.3,0.44,0.61,0.3,0.58,0.42,0.49,0.56,0.44
igarden.csv,0.19,0.19,0.08,0.35,0.21,0.13,0.19,0.13,0.45,0.12,0.17
levent.csv,0.15,0.02,0.0,0.0,0.67,0.3,0.32,0.0,0.0,0.0,0.48
lportal.csv,0.19,0.04,0.17,0.01,0.0,0.09,0.0,0.32,0.18,0.01,0.05
natpad.csv,0.77,0.58,0.7,0.83,0.88,0.3,0.47,0.55,0.69,0.51,0.36
openmsx.csv,0.6,0.79,0.39,0.71,0.15,0.13,0.3,0.4,0.0,0.33,0.03
owlapi.csv,0.81,0.29,0.48,0.19,0.7,0.57,0.91,0.24,0.27,0.8,0.48
xcsoar.csv,0.19,0.08,0.25,0.51,0.39,0.26,0.26,0.27,0.44,0.46,0.47
