,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.78,0.51,0.83,0.77,0.55,0.78,0.83,0.85,0.55,0.6,0.71,0.9,0.69
bdbbasic.csv,0.95,0.73,0.87,0.76,0.39,0.7,0.83,0.74,0.83,0.66,0.52,1.0,0.65
foursquared.csv,1.0,1.0,1.0,0.29,1.0,1.0,0.92,1.0,0.61,0.79,0.79,0.97,1.0
impala.csv,0.51,0.63,0.76,0.68,0.69,0.76,0.78,0.47,0.71,0.84,0.69,0.64,0.81
jicarilla.csv,0.23,0.99,0.91,1.01,1.0,0.98,0.97,1.0,0.95,0.91,1.0,1.0,0.97
ng4j.csv,0.99,0.55,0.51,0.72,0.45,0.47,0.57,0.86,0.61,0.61,0.66,0.47,0.27
open-data-kit.csv,0.99,0.57,0.85,0.96,0.88,0.32,0.7,0.85,0.69,0.84,0.56,0.64,0.56
pentahoanalysistool.csv,0.68,0.64,0.34,0.51,0.64,0.65,0.82,0.85,0.66,0.77,0.89,0.92,0.58
tradelink.csv,1.03,0.78,0.74,0.88,0.69,0.67,0.81,0.78,0.54,0.94,0.44,0.87,0.78
turbotrader-bos.csv,1.01,0.55,0.56,0.48,0.44,0.87,0.78,0.72,0.39,0.87,0.54,0.8,0.66
ultimairis.csv,0.84,0.7,0.68,0.66,0.51,0.47,0.66,0.69,0.56,0.41,0.58,0.79,0.48
wikipediardware.csv,0.9,0.92,0.57,0.81,0.76,0.66,0.83,0.93,0.8,0.88,0.83,0.28,0.74
yafdotnet.csv,0.94,0.55,0.48,0.83,0.64,0.7,0.4,0.83,0.68,0.64,0.6,0.89,0.6
