,selenium.csv,jnode.csv,mcmc-jags.csv,freebios.csv,miranda-icq.csv,quarkplusplus.csv,metacosm.csv
freebios.csv,0.72,0.72,0.94,0.67,0.87,0.75,0.92
jnode.csv,0.75,0.93,0.88,0.8,0.97,0.8,0.92
mcmc-jags.csv,0.43,0.61,0.85,0.63,0.51,0.52,0.42
metacosm.csv,0.84,0.74,0.83,0.93,0.84,0.56,0.52
miranda-icq.csv,0.94,0.54,0.9,0.81,0.78,0.8,0.57
quarkplusplus.csv,0.8,0.74,0.88,0.84,0.62,0.67,0.5
selenium.csv,0.5,0.46,0.92,0.6,0.33,0.5,0.48
