,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02
fluent-nhibernate.csv,0.02,0.0,0.08,0.02,0.06,0.04,0.04
geogebra.csv,0.44,0.12,0.22,0.0,0.05,0.13,0.06
hibernate.csv,0.05,0.11,0.07,0.15,0.08,0.31,0.06
ninject.csv,0.49,0.32,0.34,0.09,0.29,0.69,0.07
poormans.csv,0.14,0.06,0.08,0.04,0.09,0.06,0.02
uface.csv,0.86,0.79,0.55,0.93,0.84,0.88,0.09
