,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,180.0,95.5,198.0,198.0,99.0,936.0,478.5,97.5,99.0,95.5
empserver.csv,196.5,95.5,99.0,99.0,99.0,2456.0,1469.0,99.0,99.0,95.5
enlightenment.csv,99.0,488.5,198.0,197.5,99.0,3359.0,1962.0,99.0,297.0,95.5
ffigo.csv,91.5,95.5,865.5,0.0,50.0,226.0,286.5,99.0,98.5,6.5
ildjit.csv,88.5,264.5,773.0,98.5,87.5,861.5,1863.0,89.5,197.5,154.0
jfreereport.csv,180.0,427.5,959.0,99.0,210.5,493.0,581.5,97.5,86.5,95.5
mplayer-ce.csv,196.0,95.5,198.0,198.0,99.0,2822.5,1767.0,98.5,98.5,95.5
psycle.csv,99.0,292.5,198.0,297.0,99.0,2512.5,979.5,97.5,198.0,95.5
wikipediardware.csv,99.0,390.0,198.0,297.0,99.0,3017.0,1667.0,98.5,197.5,95.5
wxjs.csv,99.0,90.5,771.0,69.5,0.0,791.5,0.0,0.0,0.0,26.5
