,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.91,0.15,0.22,0.71,0.65,0.14,0.4,0.77,0.53,0.92
empserver.csv,0.77,0.23,0.13,0.75,0.72,0.1,0.23,0.68,0.49,1.0
enlightenment.csv,0.66,0.23,0.13,0.74,0.52,0.08,0.22,0.63,0.45,0.73
ffigo.csv,0.74,0.3,0.1,0.0,0.5,0.0,0.32,0.79,0.55,0.0
ildjit.csv,0.71,0.62,0.15,0.49,0.58,0.0,0.17,0.73,0.46,0.78
jfreereport.csv,0.88,0.1,0.25,0.74,0.62,0.12,0.42,0.89,0.67,1.0
mplayer-ce.csv,0.77,0.17,0.13,0.66,0.48,0.09,0.23,0.7,0.58,0.82
psycle.csv,0.79,0.14,0.18,0.62,0.57,0.06,0.26,0.72,0.47,0.77
wikipediardware.csv,0.78,0.16,0.13,0.64,0.52,0.09,0.24,0.62,0.46,0.93
wxjs.csv,0.71,0.0,0.06,0.0,0.0,0.3,0.0,0.0,0.0,1.0
