,micomt.csv,jmoney.csv,columba.csv,owlib.csv,applet2app.csv,atunes.csv
applet2app.csv,0.22,0.32,0.15,0.26,0.33,0.61
atunes.csv,0.88,0.63,0.44,0.36,0.42,0.24
columba.csv,0.68,0.39,0.26,0.24,0.49,0.36
jmoney.csv,0.53,0.1,0.16,0.35,0.19,0.27
micomt.csv,0.15,0.51,0.76,0.85,0.84,0.96
owlib.csv,0.63,0.61,0.4,0.34,0.41,0.33
