,micomt.csv,jmoney.csv,columba.csv,owlib.csv,applet2app.csv,atunes.csv
applet2app.csv,0.32,0.57,0.46,0.57,0.56,0.11
atunes.csv,0.22,0.54,0.52,0.55,0.49,0.21
columba.csv,0.2,0.59,0.56,0.51,0.54,0.14
jmoney.csv,0.2,0.8,0.5,0.51,0.46,0.17
micomt.csv,0.67,0.42,0.37,0.57,0.53,0.07
owlib.csv,0.18,0.62,0.58,0.64,0.54,0.16
