,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.85,0.09,0.57,0.38
img-browse-sort.csv,0.7,0.77,0.4,0.62
pcsx2.csv,0.76,0.74,0.58,0.92
xstore.csv,0.7,0.7,0.59,0.77
