,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.48,0.53,0.98,0.58,0.55,0.65,0.63,0.48,0.53,0.35,0.39
ikvm.csv,0.61,0.5,0.47,0.76,0.64,0.86,0.44,0.8,0.53,0.61,0.62
libtorrent.csv,0.49,0.42,0.38,0.54,0.38,0.45,0.37,0.46,0.53,0.34,0.39
mcmc-jags.csv,0.46,0.48,0.45,0.56,0.37,0.44,0.42,0.44,0.45,0.34,0.4
moast.csv,0.78,0.57,0.42,0.44,0.37,0.46,0.96,0.44,0.53,0.68,0.44
olap-navigator.csv,0.58,0.5,0.5,0.65,0.42,0.66,0.46,0.46,0.53,0.35,0.39
pidgin.csv,0.48,0.41,0.99,0.83,0.33,0.65,0.51,0.47,0.5,0.39,0.4
salasaga.csv,0.39,0.34,0.59,0.49,0.4,0.38,0.53,0.43,0.43,0.36,0.58
sepgsql.csv,0.65,0.5,0.53,0.88,0.42,0.84,0.68,0.52,0.61,0.43,0.42
sigil.csv,0.57,0.6,0.97,0.8,0.57,0.92,0.44,0.44,0.77,0.37,0.38
xtreemfs.csv,0.5,0.46,0.51,0.75,0.39,0.52,0.48,0.46,0.53,0.37,0.41
