,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,97.5,194.0,98.5,95.5,530.0,1983.0,99.0,99.0,196.0,263.5,473.5
avisynth2.csv,97.5,37.5,78.5,95.5,12.5,240.5,86.0,113.0,301.5,0.0,0.0
coot.csv,77.5,98.5,98.5,98.5,94.5,140.5,196.0,98.5,98.5,97.5,379.0
dsworkbench.csv,97.5,92.5,98.5,111.0,92.5,856.0,99.0,195.0,498.5,187.0,182.0
freelords.csv,97.5,98.5,98.5,95.5,97.5,1573.5,99.0,99.0,197.0,97.5,473.5
gephex.csv,97.5,291.5,98.5,98.5,97.5,1811.0,99.0,99.0,196.0,97.5,473.5
jas.csv,97.5,98.5,95.5,98.5,482.0,362.5,97.5,99.0,98.5,95.5,473.5
jpaul.csv,97.5,42.5,98.5,98.5,94.5,479.0,12.5,193.0,197.0,92.5,182.0
ngl.csv,97.5,98.5,98.5,98.5,94.5,850.5,196.0,98.5,196.0,97.5,376.0
scenemonitor.csv,97.5,98.5,98.5,95.5,94.5,136.0,88.5,99.0,197.0,373.0,88.5
synecdoche.csv,97.5,98.5,98.5,95.5,94.5,397.0,192.0,99.0,196.0,97.5,187.0
