,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.28,0.23,0.3,0.12,0.27,0.26,0.14,0.24,0.25,0.32,0.23
freedom-erp.csv,0.41,0.22,0.47,0.28,0.44,0.33,,0.3,0.1,0.18,0.36,0.15
haggle.csv,0.23,0.2,,0.2,0.13,0.25,0.28,0.16,0.13,0.22,0.14,0.18
javaprofiler.csv,0.33,0.27,0.43,0.28,0.31,0.34,0.31,0.23,0.46,0.3,,0.3
jchassis.csv,0.41,0.38,0.48,0.32,0.44,0.34,0.31,0.4,,0.33,0.4,0.34
jmoney.csv,0.21,0.19,0.14,0.23,0.14,0.22,0.16,0.16,0.09,0.25,0.11,
jsidplay2.csv,0.35,,0.3,0.26,0.36,0.21,0.29,0.32,0.26,0.19,0.29,0.25
madman.csv,0.37,0.24,0.39,0.26,0.36,0.3,0.31,,0.26,0.18,0.21,0.33
matrex.csv,0.15,0.19,0.1,0.23,0.15,,0.24,0.18,0.34,0.33,0.23,0.2
mediate.csv,0.19,0.16,0.23,,0.2,0.34,0.22,0.19,0.5,0.25,0.36,0.18
primefaces.csv,0.38,0.23,0.48,0.29,0.44,0.22,0.27,0.37,0.41,,0.29,0.26
tmva.csv,0.33,0.37,0.43,0.32,,0.34,0.31,0.28,0.32,0.28,0.34,0.28
