,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.51,0.12,0.79,0.16,0.88,0.12,0.5,0.0,0.48,0.6,0.75
freedom-erp.csv,0.0,0.49,0.01,0.18,0.0,0.04,,0.25,0.0,0.2,0.03,0.65
haggle.csv,0.63,0.25,,0.38,0.22,0.42,0.02,0.75,0.0,0.65,0.21,0.25
javaprofiler.csv,0.81,0.56,0.92,0.74,0.66,1.0,1.0,1.0,1.0,0.95,,0.8
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
jmoney.csv,0.85,0.63,0.46,0.69,0.36,0.16,0.32,0.88,0.0,0.12,0.23,
jsidplay2.csv,0.7,,0.42,0.79,0.64,0.81,1.0,0.75,0.0,0.22,0.47,1.0
madman.csv,0.0,0.2,0.08,0.1,0.06,0.16,0.0,,0.0,0.25,0.29,0.1
matrex.csv,0.56,0.46,0.19,0.62,0.36,,0.57,0.88,0.0,0.05,0.47,0.85
mediate.csv,0.37,0.2,0.49,,0.42,0.66,0.44,0.5,1.0,0.6,0.85,0.3
primefaces.csv,1.0,0.54,1.0,0.85,0.94,0.84,0.05,1.0,1.0,,0.64,0.95
tmva.csv,0.81,1.0,0.92,1.0,,1.0,1.0,0.88,0.0,0.95,0.91,1.0
