,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,3.0,1.0,2.0,0.0,1.0,1.0,1.0,67.0,2.0,0.0,7.0
freedom-erp.csv,77.0,1.0,0.0,0.0,225.0,0.0,,3.0,67.0,0.0,0.0,0.0
haggle.csv,13.0,2.0,,0.0,1.0,1.0,5.0,6.0,67.0,2.0,0.0,3.0
javaprofiler.csv,3.0,3.0,0.0,2.0,1.0,2.0,1.0,8.0,10.0,1.0,,15.0
jchassis.csv,77.0,78.0,114.0,68.0,225.0,147.0,166.0,56.0,,66.0,110.0,60.0
jmoney.csv,0.0,0.0,3.0,1.0,2.0,0.0,6.0,6.0,67.0,0.0,0.0,
jsidplay2.csv,7.0,,1.0,0.0,0.0,2.0,0.0,17.0,67.0,4.0,0.0,11.0
madman.csv,77.0,3.0,0.0,0.0,2.0,2.0,166.0,,67.0,0.0,0.0,3.0
matrex.csv,0.0,0.0,1.0,0.0,1.0,,0.0,11.0,67.0,1.0,1.0,2.0
mediate.csv,1.0,3.0,0.0,,0.0,2.0,0.0,9.0,10.0,1.0,0.0,2.0
primefaces.csv,5.0,2.0,0.0,1.0,0.0,2.0,3.0,23.0,9.0,,0.0,11.0
tmva.csv,7.0,2.0,0.0,1.0,,2.0,1.0,13.0,67.0,0.0,0.0,13.0
