,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.45,0.15,0.5,0.19,0.68,0.15,0.55,0.0,0.48,0.58,0.71
freedom-erp.csv,0.0,0.54,0.01,0.21,0.0,0.05,,0.29,0.0,0.23,0.04,0.69
haggle.csv,0.59,0.29,,0.42,0.26,0.42,0.02,0.75,0.0,0.59,0.25,0.29
javaprofiler.csv,0.56,0.53,0.49,0.59,0.58,0.0,0.0,0.84,0.45,0.38,,0.57
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
jmoney.csv,0.77,0.66,0.49,0.59,0.4,0.19,0.36,0.83,0.0,0.15,0.27,
jsidplay2.csv,0.44,,0.42,0.57,0.64,0.77,0.38,0.55,0.0,0.24,0.44,0.7
madman.csv,0.0,0.23,0.1,0.12,0.07,0.19,0.0,,0.0,0.29,0.34,0.12
matrex.csv,0.58,0.5,0.23,0.63,0.4,,0.58,0.8,0.0,0.06,0.5,0.82
mediate.csv,0.41,0.23,0.52,,0.44,0.33,0.48,0.53,0.24,0.5,0.69,0.34
primefaces.csv,0.24,0.55,0.0,0.47,0.0,0.76,0.06,0.17,0.7,,0.6,0.68
tmva.csv,0.5,0.21,0.35,0.13,,0.0,0.0,0.69,0.0,0.38,0.3,0.61
