,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.58,0.21,0.66,0.26,0.69,0.22,0.44,0,0.52,0.65,0.58
freedom-erp.csv,0,0.64,0.03,0.29,0,0.08,,0.31,0,0.27,0.05,0.72
haggle.csv,0.48,0.38,,0.48,0.35,0.42,0.04,0.46,0,0.64,0.34,0.26
javaprofiler.csv,0.51,0.64,0.77,0.66,0.71,0.66,0.73,0.4,0.07,0.75,,0.48
jchassis.csv,0,0,0,0,0,0,0,0,,0,0,0
jmoney.csv,0.64,0.74,0.57,0.64,0.49,0.27,0.44,0.45,0,0.22,0.36,
jsidplay2.csv,0.43,,0.48,0.67,0.72,0.75,0.76,0.24,0,0.28,0.53,0.59
madman.csv,0,0.3,0.15,0.16,0.11,0.26,0,,0,0.36,0.44,0.16
matrex.csv,0.53,0.59,0.31,0.67,0.48,,0.62,0.4,0,0.09,0.58,0.71
mediate.csv,0.38,0.32,0.59,,0.53,0.51,0.54,0.32,0.06,0.58,0.8,0.32
primefaces.csv,0.53,0.65,0.78,0.68,0.82,0.73,0.09,0.25,0.08,,0.68,0.57
tmva.csv,0.49,0.86,0.76,0.73,,0.66,0.73,0.3,0,0.75,0.77,0.56
