,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.85,0.93,0.94,0.98,1.0,0.13,1.0,1.0,0.84,0.99
fityk.csv,0.49,0.88,0.77,0.66,0.6,0.89,0.8,0.49,0.63,0.67
freenet.csv,0.79,0.53,0.47,0.88,0.97,0.7,0.62,0.85,0.67,0.64
geogebra.csv,0.53,0.69,0.69,0.51,0.63,0.83,0.48,0.65,0.6,0.42
hibernate.csv,0.79,0.8,0.53,0.65,0.62,0.46,0.45,0.52,0.55,0.47
itext.csv,0.51,0.99,0.85,0.51,0.38,0.98,0.98,0.55,0.83,0.85
k3b.csv,0.64,0.94,0.77,0.43,0.63,0.72,0.49,0.86,0.65,0.79
lamp.csv,0.41,0.63,0.62,0.76,0.5,0.82,0.46,0.61,0.6,0.84
megameknet.csv,0.66,0.65,0.61,0.75,0.88,0.99,0.4,0.74,0.7,0.81
thout.csv,0.81,0.44,0.87,0.86,1.0,0.57,0.93,0.92,0.86,0.91
