,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.8,0.65,0.52,0.41,0.56,0.47,0.54,0.86,0.75,0.6,0.57,0.03,0.71,0.51,0.69
amateur-scrolls.csv,0.51,0.17,0.21,0.38,0.6,0.26,0.57,0.61,0.15,0.26,0.06,0.03,0.04,0.6,0.16
arianne.csv,0.78,0.78,0.49,0.45,0.6,0.71,0.59,0.94,0.82,0.72,0.74,0.01,0.77,0.46,0.83
bl-toolkit.csv,0.56,0.49,0.32,0.31,0.36,0.66,0.37,0.95,0.84,0.61,0.74,0.02,0.77,0.44,0.67
doomlegacy.csv,0.68,0.56,0.47,0.46,0.66,0.54,0.63,0.95,0.47,0.56,0.63,0.02,0.08,0.58,0.81
enlightenment.csv,0.88,0.79,0.4,0.45,0.66,0.67,0.58,0.96,0.82,0.71,0.69,0.01,0.72,0.47,0.86
fritzing.csv,0.8,0.71,0.6,0.41,0.71,0.52,0.58,0.9,0.79,0.6,0.67,0.02,0.52,0.29,0.33
gnukeda.csv,0.84,0.64,0.42,0.49,0.62,0.61,0.59,0.65,0.33,0.78,0.58,0.02,0.53,0.45,0.86
jlinalg.csv,0.87,0.47,0.37,0.39,0.52,0.62,0.54,0.7,0.58,0.63,0.6,0.03,0.68,0.5,0.8
knowledge.csv,0.86,0.6,0.58,0.46,0.63,0.59,0.57,0.91,0.77,0.74,0.65,0.02,0.77,0.41,0.83
massiv.csv,0.25,0.02,0.43,0.11,0.44,0.18,0.0,0.0,0.11,0.14,0.0,0.33,0.0,0.55,0.0
playerstage.csv,0.67,0.58,0.52,0.39,0.7,0.54,0.7,0.84,0.6,0.64,0.68,0.02,0.66,0.49,0.42
psycle.csv,0.83,0.7,0.55,0.45,0.68,0.71,0.59,0.94,0.76,0.75,0.71,0.02,0.66,0.56,0.78
superwaba.csv,0.42,0.66,0.65,0.48,0.64,0.44,0.57,0.8,0.7,0.6,0.52,0.02,0.71,0.53,0.62
wxcrp.csv,0.84,0.74,0.52,0.51,0.66,0.64,0.62,0.96,0.74,0.6,0.2,0.01,0.58,0.44,0.82
