,f1,g,recall,precision,pf,wins
alsa.csv,0.57,0.61,0.65,0.69,0.35,13
amateur-scrolls.csv,0.26,0.22,0.19,0.69,0.06,2
arianne.csv,0.72,0.24,0.95,0.59,0.94,4
bl-toolkit.csv,0.56,0.4,0.75,0.54,0.73,3
doomlegacy.csv,0.56,0.6,0.74,0.62,0.48,8
enlightenment.csv,0.69,0.0,1.0,0.55,1.0,1
fritzing.csv,0.6,0.62,0.63,0.67,0.37,11
gnukeda.csv,0.59,0.53,0.75,0.64,0.66,7
jlinalg.csv,0.58,0.55,0.67,0.58,0.57,6
knowledge.csv,0.63,0.63,0.78,0.63,0.55,10
massiv.csv,0.11,0.07,0.06,0.5,0.0,0
playerstage.csv,0.6,0.58,0.58,0.69,0.29,12
psycle.csv,0.7,0.65,0.84,0.64,0.62,14
superwaba.csv,0.6,0.59,0.62,0.62,0.32,9
wxcrp.csv,0.62,0.53,0.78,0.53,0.77,5
