,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.09,0.69,0.57,0.6,0.02,1.0,0.81,0.24,0.51,0.3,0.55,0.52,0.6,0.42,0.2,0.32
fontforge.csv,0.2,0.6,0.2,0.28,0.52,0.3,0.97,1.0,0.32,0.49,0.11,0.32,0.23,0.13,0.51,0.0
glas.csv,0.47,0.52,0.38,0.39,0.51,0.6,0.88,0.46,0.62,0.65,0.54,0.52,0.53,0.98,0.55,0.52
hannosset.csv,0.02,0.0,0.0,0.0,0.37,0.02,0.0,0.0,0.0,0.04,0.01,0.07,0.09,0.0,1.0,0.05
hatari.csv,0.57,0.71,0.94,0.56,0.63,0.61,0.86,0.0,0.62,0.49,0.64,0.58,0.59,0.31,0.7,0.41
jaolt.csv,0.5,0.53,0.57,0.4,0.05,0.57,0.47,0.0,0.27,0.3,0.68,0.05,0.99,0.0,0.6,0.49
ltp.csv,0.06,0.3,0.25,0.28,0.98,0.07,0.0,0.2,0.2,0.04,0.02,0.13,0.23,0.0,0.54,0.1
mia.csv,0.12,0.61,0.0,0.28,0.28,0.43,0.0,0.05,0.2,0.47,0.41,0.95,0.44,0.04,0.0,0.05
net-snmp.csv,0.98,0.27,0.36,0.32,0.56,0.4,0.95,0.14,0.26,0.51,0.54,0.32,0.27,0.06,0.2,0.29
opde.csv,0.68,0.66,0.48,0.97,0.72,0.54,0.0,0.45,0.48,0.59,0.65,0.36,0.53,0.19,0.6,0.33
oppna-program-hsatools.csv,0.6,0.58,0.42,0.33,0.38,0.64,0.0,0.0,0.51,0.09,1.0,0.17,0.5,0.27,0.51,0.56
powerfolder-.csv,0.12,1.0,0.0,0.15,0.04,0.13,1.0,0.5,0.2,0.1,0.31,0.2,0.26,0.04,0.0,0.05
qlc.csv,0.38,0.07,0.0,0.1,0.0,0.0,0.0,0.41,0.95,0.0,0.09,0.0,0.04,0.13,0.0,0.1
quantlib.csv,0.12,0.58,0.53,0.4,0.55,0.46,0.94,0.41,0.26,0.27,0.47,0.54,0.47,0.37,0.2,0.97
tcl.csv,0.46,0.66,0.44,0.48,0.36,0.36,0.84,0.57,0.59,0.98,0.36,0.31,0.58,0.46,0.6,0.41
