,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.69,0.57,0.92,0.96,1.01,1.01,0.42,0.8,0.99,0.96,0.85,1.04,0.84,0.79,0.95,0.84,0.89,1.0,0.8,0.72
extprosys.csv,0.67,1.02,0.53,0.97,0.85,0.93,0.61,1.0,0.51,1.0,0.57,1.12,1.0,0.88,0.61,0.74,1.0,0.75,0.8,0.76
freewrl.csv,0.84,0.73,0.7,0.74,0.82,0.65,0.56,0.57,0.54,0.42,0.61,0.55,0.51,0.42,0.6,0.45,0.77,0.94,0.61,0.67
glas.csv,0.48,0.95,0.71,0.66,0.67,0.71,0.94,0.42,0.62,0.73,0.72,0.39,0.62,1.06,0.5,0.45,0.66,0.69,0.55,0.74
ibatisdb.csv,1.0,0.77,0.75,0.65,0.82,0.82,0.66,0.65,0.53,0.93,0.95,0.81,0.67,0.71,0.64,0.25,1.0,0.82,0.72,0.68
japano.csv,1.29,1.0,0.75,0.79,1.0,0.31,0.98,0.88,0.96,1.0,0.73,0.35,0.79,0.95,0.88,0.89,0.75,0.96,0.92,0.67
lockss.csv,0.35,0.65,0.71,0.74,0.67,0.75,0.74,0.47,0.45,1.0,0.53,0.87,0.59,0.7,0.95,0.74,0.97,0.88,0.57,0.86
officefloor.csv,0.58,0.78,0.79,0.85,0.97,0.88,0.63,0.82,0.46,1.0,0.71,1.09,0.6,1.0,0.84,0.49,0.73,0.86,0.66,0.79
opennms.csv,0.49,1.09,0.91,0.41,0.72,0.89,0.69,0.58,0.73,0.78,0.85,0.87,0.67,0.81,0.92,0.84,1.0,0.88,0.85,1.0
papertoolkit.csv,1.14,0.77,0.82,0.77,0.84,0.85,0.73,0.8,0.8,0.76,0.7,0.82,0.96,0.2,0.89,0.89,0.78,0.83,0.69,0.97
primefaces.csv,0.66,0.84,1.0,0.83,0.76,0.84,0.99,0.97,0.99,1.0,0.73,1.0,1.0,0.95,1.0,0.7,0.91,0.33,0.62,0.76
rohxel.csv,0.66,0.62,0.71,0.71,0.39,0.55,0.66,0.5,0.58,0.56,0.44,0.41,0.56,0.79,0.66,0.56,0.94,0.75,0.76,0.95
roller.csv,0.85,1.0,1.0,0.86,0.47,0.85,0.98,1.0,0.72,0.51,0.33,1.0,0.99,0.8,0.62,0.69,0.93,0.72,0.69,0.85
sevenupdate.csv,0.96,0.27,1.0,0.95,1.0,1.0,0.94,0.8,0.99,1.0,1.0,1.0,0.7,0.83,1.0,1.0,1.0,1.0,0.9,1.0
soar.csv,0.62,0.89,0.97,0.86,0.69,0.9,0.78,0.6,0.9,0.83,0.75,1.0,1.0,0.85,1.0,0.82,0.46,0.94,0.84,1.01
web-cat.csv,1.24,0.61,0.86,0.93,0.93,0.98,0.96,0.79,0.83,1.0,0.86,1.01,0.76,0.72,0.74,0.69,1.0,0.76,0.87,0.33
xcf.csv,1.21,0.68,0.62,0.65,0.7,0.8,0.56,0.68,0.69,0.58,0.64,0.38,0.6,0.68,0.53,0.62,0.93,0.85,0.38,0.75
xfce.csv,1.29,0.86,0.53,0.58,0.76,0.63,0.59,0.68,0.98,0.69,0.73,0.36,0.55,0.52,0.76,0.86,0.86,0.82,0.55,0.96
