,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.37,0.0,0.1,0.14,1.0,0.79,0.1,0.18,0.03,0.25,1.0,0.0,0.2
emulemorph.csv,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.07,1.0,0.0,0.0,0.0,0.47
gisgraphy.csv,0.38,0.04,0.12,0.11,0.29,0.85,0.02,0.21,0.11,0.22,0.27,0.02,1.0
jaxen.csv,0.0,0.0,0.22,0.0,0.67,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0
jvcl.csv,0.36,0.0,1.0,0.07,0.0,1.0,0.02,0.0,0.0,0.11,1.0,0.0,0.39
m-m-m.csv,0.38,0.01,0.06,0.07,0.22,1.0,0.02,0.06,0.02,0.3,0.37,0.01,0.27
motu.csv,0.36,0.02,0.28,0.0,0.37,0.79,1.0,0.38,0.0,1.0,0.0,0.03,0.18
nh3d.csv,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0
sarasvati.csv,0.37,0.0,0.14,1.0,0.5,0.0,0.05,0.0,0.02,0.19,0.42,0.0,0.0
wgs-assembler.csv,1.0,0.04,0.11,0.25,0.54,1.0,0.1,0.25,0.0,0.24,0.71,0.08,0.31
zabbix.csv,0.34,0.01,0.1,0.07,0.24,0.78,0.02,0.11,0.06,0.24,1.0,0.0,0.32
