,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.87,0.0,0.5,0.36,0.96,0.22,1.0,0.4,0.17,0.46,0.08,0.0,0.18
emulemorph.csv,0.0,0.0,0.0,0.27,0.0,0.08,0.0,0.2,0.83,0.0,0.0,0.0,0.41
gisgraphy.csv,0.77,0.25,0.69,0.91,0.46,0.22,1.0,0.6,1.0,0.85,0.34,1.0,1.0
jaxen.csv,0.0,0.0,0.12,0.0,0.08,0.0,0.0,1.0,0.0,0.08,0.02,0.0,0.0
jvcl.csv,0.1,0.0,1.0,0.09,0.0,0.02,1.0,0.0,0.0,0.31,0.02,0.0,0.68
m-m-m.csv,0.41,0.75,0.25,0.91,0.75,1.0,1.0,1.0,0.17,0.77,0.82,1.0,0.73
motu.csv,0.13,0.5,0.31,0.0,0.29,0.22,1.0,0.6,0.0,1.0,0.0,1.0,0.09
nh3d.csv,0.03,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
sarasvati.csv,0.62,0.0,0.12,0.82,0.04,0.0,1.0,0.0,0.17,0.38,0.15,0.0,0.0
wgs-assembler.csv,0.97,0.25,0.31,0.36,0.29,0.06,1.0,0.2,0.0,0.38,0.08,1.0,0.23
zabbix.csv,0.79,1.0,1.0,1.0,0.71,0.71,1.0,0.8,0.83,0.92,0.98,0.0,0.64
