,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.53,0.23,0.46,0.35,0.6,0.3,0.27,0.3,0.41,0.63,0.9,0.2
gamestone.csv,0.02,0.17,0.21,0.38,0.28,0.0,0.01,0.21,0.17,0.22,0.1,0.1
gbif-providertoolkit.csv,0.66,0.54,0.42,0.49,0.27,0.74,0.69,0.26,0.46,0.5,0.29,0.6
heekscad.csv,0.26,0.29,0.34,0.42,0.58,0.35,0.54,0.37,0.51,0.41,0.65,0.6
igarden.csv,0.19,0.31,0.07,0.38,0.21,0.17,0.26,0.12,0.53,0.06,0.38,0.1
levent.csv,0.26,0.0,0.0,0.0,0.7,0.35,0.41,0.0,0.0,0.0,0.0,0.0
lportal.csv,0.19,0.04,0.17,0.01,0.0,0.09,0.0,0.28,0.18,0.01,0.08,0.0
openmsx.csv,0.36,0.69,0.49,0.71,0.19,0.09,0.15,0.21,0.0,0.38,0.23,0.5
owlapi.csv,0.91,0.27,0.54,0.17,0.72,0.48,0.88,0.24,0.28,0.79,0.5,0.6
pnotepad.csv,0.17,0.6,0.73,0.97,0.88,0.57,0.49,0.83,0.99,0.74,1.0,0.0
quark.csv,0.09,0.02,0.07,0.01,0.1,0.0,0.01,0.09,0.11,0.04,0.21,0.1
xcsoar.csv,0.19,0.1,0.24,0.47,0.39,0.26,0.27,0.32,0.5,0.52,1.0,0.0
