,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.7,0.12,0.75,0.35,0.86,0.43,0.58,0.52,0.7,0.65,1.0,0.4
gamestone.csv,0.04,0.88,0.14,0.35,0.14,0.0,0.0,0.04,0.02,0.17,0.0,0.06
gbif-providertoolkit.csv,0.53,0.0,0.41,0.55,0.71,0.94,0.74,0.64,0.84,0.46,0.31,0.33
heekscad.csv,0.78,0.62,0.71,0.55,0.71,0.47,0.68,0.6,0.82,0.54,1.0,0.79
igarden.csv,0.53,0.38,0.34,0.71,0.36,0.41,0.37,0.2,0.62,0.14,1.0,0.46
levent.csv,0.44,0.12,0.0,0.0,0.86,0.63,0.53,0.0,0.0,0.0,0.0,0.0
lportal.csv,0.25,0.0,0.29,0.0,0.07,0.12,0.03,0.52,0.73,0.02,0.0,0.08
openmsx.csv,0.68,0.88,0.38,0.81,0.21,0.22,0.03,0.36,0.0,0.52,0.08,0.19
owlapi.csv,0.74,0.0,0.43,0.16,0.79,0.67,0.92,0.76,0.4,0.72,0.85,0.73
pnotepad.csv,0.61,0.88,0.88,1.0,0.86,0.67,0.63,0.72,0.99,0.55,1.0,0.85
quark.csv,0.25,0.25,0.32,0.03,0.21,0.06,0.08,0.2,0.18,0.09,0.85,0.29
xcsoar.csv,0.66,0.38,0.68,0.61,0.64,0.47,0.47,0.56,0.78,0.49,1.0,0.25
