,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.69,0.1,0.64,0.33,0.36,0.55,0.55,0.34,0.12,0.51,0.36,0.55
gamestone.csv,0.07,0.58,0.2,0.32,0.11,0.0,0.0,0.04,0.01,0.23,0.0,0.12
gbif-providertoolkit.csv,0.55,0.0,0.42,0.41,0.48,0.82,0.48,0.43,0.13,0.42,0.25,0.46
heekscad.csv,0.81,0.36,0.67,0.44,0.32,0.58,0.5,0.34,0.12,0.5,0.43,0.83
igarden.csv,0.65,0.22,0.48,0.55,0.3,0.55,0.39,0.22,0.09,0.22,0.57,0.62
levent.csv,0.55,0.22,0.0,0.0,0.33,0.7,0.45,0.0,0.0,0.0,0.0,0.0
lportal.csv,0.36,0.0,0.38,0.0,0.13,0.21,0.05,0.35,0.25,0.03,0.0,0.15
openmsx.csv,0.71,0.27,0.38,0.47,0.2,0.35,0.04,0.29,0.0,0.5,0.08,0.29
owlapi.csv,0.64,0.0,0.41,0.21,0.3,0.71,0.51,0.5,0.1,0.51,0.44,0.79
pnotepad.csv,0.71,0.3,0.62,0.47,0.28,0.69,0.49,0.24,0.08,0.42,0.33,0.92
quark.csv,0.38,0.36,0.46,0.06,0.25,0.12,0.14,0.24,0.1,0.16,0.63,0.44
xcsoar.csv,0.74,0.38,0.68,0.45,0.37,0.59,0.47,0.35,0.12,0.44,0.33,0.4
