,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.71,0.78,1.0,1.0,0.63,0.7,0.77,1.0,0.84,0.9,0.84,1.0
fityk.csv,0.54,0.53,0.94,0.7,0.68,0.86,0.72,0.73,0.57,0.9,0.78,0.64
hatari.csv,0.5,0.81,0.81,0.72,0.81,0.7,0.69,0.86,0.7,0.9,0.6,0.76
lmms.csv,0.63,0.68,0.57,0.5,0.57,0.75,0.52,0.86,0.82,0.57,0.5,0.63
mecat.csv,0.8,0.92,0.69,0.9,0.81,0.99,0.89,1.0,0.84,0.12,1.0,0.92
nullc.csv,0.61,0.34,0.96,0.58,0.92,0.78,0.84,0.86,0.68,0.57,0.98,0.5
oscarmcmaster.csv,0.72,0.56,0.76,0.57,0.67,0.78,0.63,0.93,0.74,0.45,0.98,0.54
superwaba.csv,0.59,0.51,0.39,0.58,0.69,0.9,0.66,0.53,0.88,0.81,0.97,0.66
tycho.csv,0.56,0.58,0.69,0.53,0.68,0.66,0.68,0.31,0.69,0.57,0.47,0.58
vienna-add-in.csv,0.72,0.55,0.9,0.71,0.79,0.47,0.78,0.65,0.88,0.93,1.01,0.63
voms.csv,0.57,0.68,0.79,0.58,0.72,0.71,0.19,0.6,0.55,0.57,0.91,0.62
wsmt.csv,1.0,0.92,0.79,0.94,0.82,0.81,1.0,0.89,1.0,1.04,0.33,0.73
