,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.0,0.0,0.0,0.71,0.29,0.43,1.0,1.0,0.89,0.0,0.0,1.0,0.0
jicarilla.csv,0.0,0.25,0.94,0.0,0.32,0.26,0.33,0.11,0.0,0.29,0.0,0.0,0.04,0.23
jmule.csv,0.04,0.4,0.19,0.07,0.56,0.25,0.3,0.38,0.18,0.74,0.26,0.06,0.41,1.0
micomt.csv,0.04,0.41,0.5,0.09,0.48,0.31,0.27,0.28,0.87,0.61,0.18,0.05,0.2,0.4
migen.csv,0.11,0.43,0.41,0.09,1.0,0.3,0.4,0.41,0.26,0.76,0.29,0.03,0.39,0.62
mvnforum.csv,0.0,0.25,0.44,0.02,0.67,0.0,0.95,0.3,0.33,0.7,0.26,0.09,0.38,0.0
ng4j.csv,0.07,0.43,0.12,0.09,0.52,0.33,0.35,0.42,0.37,0.74,0.24,0.07,0.95,0.75
open-data-kit.csv,0.04,0.45,0.19,0.08,0.47,0.24,0.43,0.32,0.2,1.0,0.27,0.08,0.35,0.65
opennms.csv,0.0,0.39,0.0,0.09,0.57,0.96,0.5,0.37,0.0,0.58,0.13,0.0,0.29,0.45
ossim.csv,0.0,0.75,0.0,1.0,0.67,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
plplot.csv,0.04,0.35,0.29,0.04,0.53,0.26,0.36,1.0,0.14,0.8,0.27,0.03,0.28,0.51
qedo.csv,0.0,0.0,0.8,0.0,0.25,0.67,0.5,0.0,0.0,0.67,0.25,1.0,0.0,0.0
tradelink.csv,0.0,0.56,0.0,0.03,0.75,0.25,0.5,0.0,0.25,0.71,1.0,0.02,0.5,0.0
wgs-assembler.csv,0.25,1.0,0.0,0.11,0.5,0.19,0.17,0.31,0.36,0.85,0.57,0.01,0.42,0.5
