,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.0,0.0,0.0,0.34,0.09,0.2,0.12,0.1,0.13,0.0,0.0,0.06,0.0
jicarilla.csv,0.0,0.18,0.99,0.0,0.21,0.29,0.13,0.12,0.0,0.06,0.0,0.0,0.06,0.23
jmule.csv,0.75,0.62,0.14,0.63,0.67,0.52,0.54,0.58,0.0,0.73,0.7,0.41,0.78,0.97
micomt.csv,0.6,0.63,0.56,0.78,0.61,0.65,0.47,0.52,0.99,0.51,0.52,0.27,0.45,0.39
migen.csv,0.94,0.35,0.24,0.48,0.98,0.33,0.13,0.37,0.49,0.45,0.13,0.25,0.39,0.25
mvnforum.csv,0.0,0.1,0.14,0.07,0.33,0.0,1.0,0.37,0.43,0.43,0.36,0.21,0.18,0.0
ng4j.csv,0.54,0.63,0.04,0.77,0.45,0.6,0.66,0.52,0.76,0.66,0.6,0.43,1.0,0.55
open-data-kit.csv,0.52,0.64,0.11,0.66,0.53,0.5,0.66,0.33,0.41,0.98,0.7,0.52,0.64,0.64
opennms.csv,0.0,0.52,0.0,0.48,0.15,0.94,0.32,0.37,0.0,0.23,0.13,0.0,0.12,0.54
ossim.csv,0.0,0.1,0.0,0.95,0.07,0.05,0.0,0.06,0.0,0.1,0.0,0.0,0.0,0.05
plplot.csv,0.53,0.0,0.14,0.44,0.66,0.53,0.67,0.92,0.34,0.62,0.65,0.25,0.51,0.64
qedo.csv,0.0,0.0,0.15,0.0,0.04,0.09,0.07,0.0,0.0,0.04,0.06,0.88,0.0,0.0
tradelink.csv,0.0,0.16,0.0,0.07,0.21,0.05,0.2,0.0,0.35,0.09,0.96,0.11,0.06,0.0
wgs-assembler.csv,0.55,0.89,0.0,0.64,0.15,0.13,0.07,0.28,0.43,0.17,0.47,0.06,0.29,0.1
