,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.5,0.5,0.0,0.0,0.71,0.86,0.86,0.5,0.0,0.89,0.5,0.75,0.0,0.0
jicarilla.csv,0.9,0.96,0.83,0.9,0.95,0.89,0.83,0.95,0.75,0.93,0.93,0.88,0.75,0.64
jmule.csv,0.43,0.4,0.71,0.54,0.37,0.47,0.39,0.53,0.4,0.41,0.41,0.43,0.54,0.48
micomt.csv,0.44,0.38,0.61,0.51,0.5,0.47,0.4,0.56,0.93,0.58,0.41,0.5,0.58,0.38
migen.csv,0.68,0.89,0.76,0.89,0.55,0.78,0.8,0.65,0.61,0.63,0.86,0.56,0.94,0.88
mvnforum.csv,0.9,0.92,0.89,0.98,0.93,0.5,0.74,0.96,0.93,0.81,0.96,0.98,0.88,0.0
ng4j.csv,0.67,0.43,0.75,0.42,0.56,0.48,0.35,0.67,0.7,0.46,0.48,0.4,0.76,0.62
open-data-kit.csv,0.54,0.43,0.69,0.47,0.45,0.47,0.43,0.58,0.42,0.43,0.46,0.41,0.65,0.52
opennms.csv,0.54,0.45,0.0,0.6,0.86,0.78,0.9,0.58,0.5,0.81,0.93,0.91,0.86,0.37
ossim.csv,0.0,0.75,0.0,0.93,0.67,0.0,0.0,0.0,0.0,0.83,0.0,0.62,0.0,0.0
plplot.csv,0.6,0.32,0.57,0.6,0.38,0.39,0.38,0.68,0.61,0.45,0.5,0.45,0.47,0.36
qedo.csv,0.67,0.0,0.8,0.83,0.75,0.67,0.5,0.0,0.75,0.67,0.75,0.95,0.0,0.0
tradelink.csv,0.5,0.89,0.8,0.97,0.88,0.75,0.83,0.8,0.94,0.86,0.94,0.72,0.5,0.0
wgs-assembler.csv,0.75,0.68,0.75,0.68,0.88,0.94,0.83,0.94,0.79,0.92,0.93,0.51,0.92,0.75
