,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.92,0.88,0.37,0.98,1.0,1.0,1.0,1.0,0.81,0.88,1.0,0.57
e-bio-flow.csv,0.46,0.31,0.93,0.13,0.26,0.0,0.18,0.38,0.13,0.0,0.28,0.32
freedom-erp.csv,0.27,0.01,0.23,0.0,0.99,0.0,0.0,0.0,0.15,0.0,0.06,0.02
jbasic.csv,0.31,0.31,0.43,0.98,0.94,0.2,0.36,0.5,0.35,0.0,0.37,0.42
jgossipforum.csv,0.0,0.08,0.13,0.1,0.0,0.6,0.09,0.38,0.04,0.0,0.04,0.02
joustsim.csv,0.2,0.43,0.23,0.95,0.02,0.4,1.0,0.88,0.3,0.5,0.59,0.4
jsidplay2.csv,0.98,0.69,0.5,0.67,0.84,0.4,0.91,0.12,0.76,0.75,0.59,0.48
madman.csv,0.02,0.22,0.2,0.13,0.04,0.0,0.18,1.0,0.06,0.0,0.08,0.1
mule.csv,0.22,0.98,0.43,0.37,0.57,0.2,0.73,0.62,0.24,0.5,0.32,0.48
nunit.csv,0.34,0.35,0.4,0.67,0.35,1.0,0.64,0.25,0.35,0.25,0.31,0.95
power-architect.csv,0.8,0.88,0.8,0.35,0.68,0.6,0.91,0.88,1.0,0.88,0.8,0.85
reaper3d.csv,0.42,0.4,0.33,0.41,0.37,0.4,0.18,0.0,0.54,1.0,0.24,0.35
