,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.83,0.72,0.42,0.65,0.74,0.04,0.54,0.27,0.82,0.13,1.0,0.4
e-bio-flow.csv,0.61,0.41,0.93,0.2,0.37,0.0,0.19,0.21,0.23,0.0,0.44,0.24
freedom-erp.csv,0.42,0.01,0.36,0.0,0.98,0.0,0.0,0.0,0.25,0.0,0.11,0.05
jbasic.csv,0.46,0.42,0.39,0.95,0.78,0.04,0.21,0.33,0.48,0.0,0.53,0.33
jgossipforum.csv,0.0,0.15,0.21,0.17,0.0,0.75,0.17,0.5,0.07,0.0,0.07,0.05
joustsim.csv,0.33,0.55,0.28,0.66,0.04,0.11,1.0,0.39,0.44,0.14,0.71,0.4
jsidplay2.csv,0.99,0.66,0.41,0.63,0.75,0.03,0.27,0.07,0.77,0.2,0.71,0.29
madman.csv,0.03,0.34,0.29,0.22,0.08,0.0,0.24,1.0,0.11,0.0,0.14,0.15
mule.csv,0.36,0.98,0.41,0.47,0.66,0.03,0.44,0.43,0.37,0.25,0.47,0.43
nunit.csv,0.43,0.46,0.35,0.58,0.44,0.09,0.23,0.17,0.48,0.14,0.46,0.96
power-architect.csv,0.77,0.74,0.53,0.41,0.62,0.04,0.27,0.26,1.0,0.16,0.84,0.35
reaper3d.csv,0.53,0.46,0.42,0.46,0.47,0.03,0.13,0.0,0.64,1.0,0.38,0.25
