,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.02,0.34,0.01,0.8,0.1,0.46,0.83,0.0,0.14,0.26,0.26,0.33,0.19,0.19,0.57,0.39,0.19,0.2,0.78,0.16
cme.csv,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.25,0.67,0.83
free-evolution.csv,0.05,0.36,0.01,0.96,0.08,0.31,0.82,0.14,0.07,0.3,0.24,0.49,0.24,0.33,0.7,0.36,0.24,0.29,0.9,0.1
gtad.csv,0.15,0.38,0.01,1.0,0.15,0.33,1.0,0.05,0.1,0.32,0.29,0.58,0.71,0.2,1.0,0.45,0.38,0.38,1.0,0.0
gusanos.csv,0.06,0.6,0.02,1.0,0.12,0.37,0.79,0.11,0.22,0.25,0.25,0.55,0.36,0.24,0.89,0.41,0.23,0.28,0.81,0.17
kaffeine.csv,0.03,0.41,0.01,0.98,0.1,0.3,0.82,0.04,0.22,0.34,0.21,0.46,0.34,0.22,0.78,0.38,0.21,0.26,0.91,0.12
lcfizvtop.csv,0.04,0.33,0.01,0.95,0.13,0.37,0.76,0.0,0.15,0.25,0.28,0.42,0.31,0.48,0.71,0.42,0.22,0.32,0.91,0.18
m-a-d-n-e-s-s.csv,1.0,0.36,0.01,1.0,0.14,0.34,1.0,0.11,0.38,0.38,0.56,0.58,0.57,0.0,1.0,0.49,0.41,0.3,0.86,0.06
m-m-m.csv,0.05,0.38,0.01,0.93,0.07,0.25,0.95,0.1,0.12,0.31,0.13,0.4,0.38,0.18,0.75,0.34,0.2,0.29,0.9,0.02
mediaportal.csv,0.0,0.38,0.01,1.0,0.25,0.15,0.9,0.1,0.28,0.56,0.34,0.56,0.58,0.12,0.77,0.52,0.35,0.57,1.0,0.0
mvnforum.csv,0.0,0.32,0.01,0.68,0.02,0.21,0.83,0.14,0.06,0.39,0.06,0.3,0.2,0.12,0.62,0.19,0.11,0.21,0.72,0.0
myfaces.csv,0.04,0.36,0.01,1.0,0.09,0.3,0.81,0.02,0.2,0.27,0.34,0.52,0.52,0.21,0.8,0.5,0.22,0.25,0.95,0.14
nh3d.csv,0.03,0.38,0.67,0.82,0.06,0.26,0.84,0.11,0.11,0.29,0.14,0.77,0.3,0.19,0.71,0.34,0.0,0.23,0.81,0.09
ogrehg.csv,0.03,0.43,0.01,1.0,0.06,0.25,0.88,0.11,0.11,0.34,0.14,0.64,0.42,0.16,0.84,0.33,0.29,0.4,0.91,0.1
pnotepad.csv,0.04,0.43,0.0,1.0,0.1,0.26,0.88,0.11,0.16,0.31,0.16,0.48,0.42,0.26,0.67,0.36,0.21,0.28,0.96,0.09
pydev.csv,0.06,0.34,0.01,1.0,0.05,0.29,0.93,0.08,0.18,0.25,0.14,0.59,0.56,0.24,0.74,0.55,0.28,0.33,0.95,0.14
sarasvati.csv,0.06,0.4,0.01,1.0,0.17,0.15,0.89,0.03,0.12,0.37,0.2,0.34,0.6,0.24,0.88,0.37,0.23,0.41,0.91,0.09
taokgame.csv,0.05,0.5,0.0,1.0,0.03,0.33,1.0,0.56,0.12,0.25,0.12,0.74,1.0,0.3,1.0,0.36,0.27,0.6,1.0,0.11
tokratan.csv,0.04,0.35,0.01,0.81,0.06,0.3,0.88,0.0,0.21,0.29,0.19,0.47,0.45,0.27,0.76,0.47,0.24,0.36,1.0,0.14
wgs-assembler.csv,0.07,0.45,0.02,1.0,0.07,0.29,1.0,0.4,0.12,0.31,0.19,0.61,0.54,0.27,0.81,0.38,0.33,0.28,0.87,0.0
