,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.8,0.8,0.7,1.01,0.68,0.41,0.74,1.06,0.81,0.82,0.7,0.91,0.96,0.81,1.02,0.64,0.95,0.92,1.03,0.5
cme.csv,1.0,0.97,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.93,0.97,0.96,0.02
free-evolution.csv,0.57,0.93,0.8,0.54,0.64,0.72,0.79,0.68,0.85,0.69,0.46,0.69,0.8,0.82,1.0,0.75,0.62,0.66,0.47,0.83
gtad.csv,0.15,0.74,0.89,0.88,0.58,0.57,0.88,0.93,0.83,0.7,0.62,0.74,0.6,0.91,0.73,0.54,0.67,0.74,0.77,1.04
gusanos.csv,0.42,0.92,0.57,0.43,0.48,0.53,0.84,0.82,0.44,0.78,0.45,0.51,0.61,0.65,0.28,0.6,0.66,0.67,0.79,0.48
kaffeine.csv,0.92,0.64,0.92,0.2,0.53,0.74,0.76,0.97,0.39,0.75,0.52,0.6,0.71,0.67,0.56,0.75,0.83,0.68,0.44,0.71
lcfizvtop.csv,0.77,0.75,0.91,0.32,0.52,0.54,0.85,1.03,0.66,0.78,0.46,0.66,0.69,0.25,0.93,0.59,0.73,0.56,0.5,0.44
m-a-d-n-e-s-s.csv,0.5,0.87,0.95,0.86,0.74,0.6,0.84,0.74,0.67,0.74,0.71,0.76,0.41,1.0,0.94,0.48,0.7,0.91,0.88,0.85
m-m-m.csv,0.49,0.68,0.68,0.5,0.8,0.96,0.28,0.9,0.87,0.83,0.99,0.77,0.59,0.74,0.62,0.92,0.72,0.61,0.51,1.11
mediaportal.csv,1.01,0.78,1.0,0.92,0.73,0.91,0.83,0.86,0.5,0.73,0.54,0.79,0.72,0.92,0.73,0.71,0.49,0.88,0.79,1.04
mvnforum.csv,1.11,0.77,0.76,1.07,0.99,0.86,0.78,0.72,0.87,0.59,0.94,0.85,0.9,0.89,0.93,0.92,0.87,0.76,1.04,1.01
myfaces.csv,0.69,0.74,0.97,0.84,0.61,0.78,0.8,1.09,0.5,0.89,0.4,0.6,0.42,0.71,0.72,0.47,0.64,0.79,0.63,0.52
nh3d.csv,1.0,0.69,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.98,1.0,0.93,0.99,1.0,1.0,1.01,1.0
ogrehg.csv,0.72,0.77,1.03,0.78,0.83,0.97,0.75,0.88,0.82,0.68,0.88,0.4,0.57,0.8,0.48,0.86,0.59,0.66,0.6,0.72
pnotepad.csv,0.73,0.6,1.03,0.47,0.53,0.94,0.61,0.99,0.58,0.79,0.77,0.59,0.5,0.55,0.95,0.93,0.84,0.63,0.22,0.98
pydev.csv,0.45,0.88,0.74,0.59,0.81,0.75,0.73,0.85,0.51,0.91,0.71,0.6,0.35,0.64,0.81,0.41,0.62,0.63,0.59,0.58
sarasvati.csv,0.46,0.74,0.71,0.88,0.33,0.89,0.71,0.97,0.79,0.67,0.53,0.81,0.65,0.59,0.69,0.67,0.62,0.66,0.8,0.72
taokgame.csv,0.56,0.97,1.0,0.94,0.93,0.77,0.94,0.1,0.77,0.82,0.79,0.83,0.92,0.74,0.91,0.73,0.86,0.82,0.85,0.68
tokratan.csv,0.73,0.8,0.89,0.78,0.84,0.71,0.6,1.25,0.57,0.73,0.57,0.59,0.45,0.68,0.66,0.5,0.6,0.74,0.54,0.58
wgs-assembler.csv,0.38,0.6,0.62,0.53,0.7,0.64,0.96,0.25,0.71,0.76,0.57,0.5,0.51,0.68,0.51,0.74,0.56,0.63,0.59,1.11
