,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.66,0.81,0.44,0.81,0.81,0.53,0.75,0.62,0.4,0.47,0.71,0.68,0.85,0.91,0.59,0.86
fbmanager.csv,0.0,0.0,0.74,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.09,0.29,0.0
fityk.csv,0.65,0.81,0.71,0.56,0.81,0.53,0.44,0.56,0.4,0.52,0.62,0.59,0.52,0.44,0.98,0.78
fleet-simulator.csv,0.84,0.84,0.82,0.91,0.92,0.91,0.81,0.97,0.8,0.32,0.88,0.91,1.0,0.94,0.93,0.93
google-caja.csv,0.66,0.88,0.71,0.77,0.96,0.72,0.92,0.65,1.0,1.0,0.97,0.84,0.94,0.76,0.98,0.98
itext.csv,0.46,0.72,0.74,0.86,0.69,0.57,0.61,0.74,0.8,0.95,0.72,0.55,0.52,0.65,0.62,0.88
k3b.csv,0.57,0.47,0.97,0.81,0.9,0.62,0.97,0.79,1.0,1.0,0.84,0.75,0.61,0.72,0.84,0.96
megameknet.csv,0.75,0.84,0.79,0.87,0.94,0.83,0.86,0.85,1.0,0.8,0.68,0.86,0.52,0.44,0.97,0.77
myfaces.csv,0.62,0.44,0.41,0.26,0.65,0.4,0.44,0.35,1.0,0.74,0.51,0.61,0.61,0.78,0.45,0.7
ondex.csv,0.29,0.25,0.15,0.14,0.62,0.26,0.36,0.15,0.2,0.11,0.32,0.45,0.55,0.3,0.72,0.72
paintown.csv,0.69,0.59,0.94,0.87,0.81,0.53,0.78,0.53,1.0,0.87,0.96,0.66,0.82,0.81,0.43,0.95
powerfolder.csv,0.44,0.25,0.62,0.18,0.48,0.53,0.33,0.06,1.0,0.4,0.52,0.45,0.18,0.37,0.16,0.38
smartgwt.csv,0.65,0.53,0.79,0.97,0.67,0.59,0.72,0.26,1.0,0.84,0.7,0.66,0.55,0.13,0.69,0.62
triplea.csv,0.59,0.62,0.5,0.85,0.92,0.78,0.75,0.71,1.0,0.55,0.57,0.68,0.88,0.93,0.74,0.83
xamj.csv,0.72,0.41,0.71,0.9,0.71,0.84,0.69,0.91,1.0,0.23,0.93,0.64,0.27,0.26,0.34,0.69
