,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.69,0.7,0.53,0.78,0.29,0.63,0.78,0.68,0.03,0.27,0.37,0.72,0.31,0.94,0.73,0.43
fbmanager.csv,0.0,0.0,0.76,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.17,0.45,0.0
fityk.csv,0.56,0.7,0.67,0.66,0.26,0.65,0.52,0.64,0.05,0.23,0.38,0.69,0.27,0.61,0.98,0.54
fleet-simulator.csv,0.64,0.7,0.67,0.84,0.32,0.82,0.75,0.7,0.08,0.35,0.39,0.78,0.29,0.97,0.96,0.51
google-caja.csv,0.66,0.72,0.69,0.84,0.24,0.76,0.8,0.71,0.08,0.38,0.39,0.76,0.28,0.86,0.98,0.47
itext.csv,0.56,0.69,0.71,0.79,0.23,0.67,0.63,0.77,0.07,0.5,0.5,0.59,0.26,0.78,0.77,0.47
k3b.csv,0.64,0.59,0.69,0.78,0.25,0.72,0.8,0.71,0.12,0.38,0.38,0.74,0.24,0.78,0.92,0.47
megameknet.csv,0.6,0.72,0.7,0.81,0.25,0.78,0.75,0.7,0.08,0.52,0.51,0.78,0.24,0.6,0.98,0.49
myfaces.csv,0.64,0.55,0.55,0.41,0.45,0.53,0.55,0.49,0.1,0.54,0.56,0.68,0.28,0.88,0.62,0.49
ondex.csv,0.41,0.39,0.25,0.24,0.25,0.38,0.47,0.24,0.02,0.16,0.42,0.6,0.4,0.46,0.84,0.49
paintown.csv,0.72,0.6,0.7,0.79,0.22,0.62,0.74,0.53,0.09,0.35,0.36,0.68,0.26,0.83,0.6,0.46
powerfolder.csv,0.54,0.37,0.61,0.3,0.26,0.65,0.47,0.11,0.42,0.38,0.29,0.56,0.23,0.53,0.27,0.43
smartgwt.csv,0.64,0.6,0.7,0.84,0.35,0.67,0.66,0.33,0.2,0.59,0.33,0.7,0.25,0.2,0.81,0.42
triplea.csv,0.6,0.73,0.58,0.81,0.27,0.78,0.7,0.68,0.14,0.46,0.44,0.71,0.32,0.96,0.85,0.51
xamj.csv,0.62,0.52,0.6,0.81,0.42,0.79,0.66,0.7,0.23,0.28,0.39,0.69,0.23,0.41,0.51,0.62
