,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.43,0.39,0.57,0.43,0.31,0.41,0.37,0.4,0.38,0.38,0.43,0.49
e-bio-flow.csv,0.67,0.56,0.6,0.69,0.38,0.97,0.59,0.39,0.75,0.65,0.61,0.71
freedom-erp.csv,0.75,0.0,0.83,0.0,0.4,0.0,0.5,0.75,0.9,0.5,0.9,0.0
jbasic.csv,0.61,0.97,0.62,0.63,0.36,0.94,0.69,0.46,0.57,0.89,0.6,0.72
jgossipforum.csv,0.0,0.95,0.75,0.0,0.5,0.67,0.0,0.67,0.0,0.8,0.89,0.0
joustsim.csv,0.85,0.5,0.85,0.59,0.58,0.86,0.82,0.44,0.69,0.58,0.6,0.92
jsidplay2.csv,0.41,0.5,0.52,0.49,0.31,0.55,0.52,0.62,0.36,0.58,0.4,0.38
madman.csv,0.83,0.97,0.89,0.83,0.0,0.0,0.5,0.88,0.67,0.88,0.95,0.91
mule.csv,0.62,0.46,0.39,0.83,0.41,0.83,0.53,0.8,0.46,0.79,0.45,0.78
nunit.csv,0.86,0.67,0.86,0.75,0.53,0.63,0.78,0.9,0.89,0.92,0.72,0.89
power-architect.csv,0.49,0.4,0.4,0.63,0.49,0.62,0.52,0.62,0.41,0.42,0.5,0.43
reaper3d.csv,0.94,0.99,0.75,0.93,0.89,0.98,0.88,0.0,0.67,0.83,0.98,0.89
