,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.54,0.33,0.42,0.09,0.0,0.24,0.91,0.0,0.53,0.09,0.99,0.58
e-bio-flow.csv,0.36,0.54,1.0,0.48,0.67,0.0,0.49,0.83,0.09,0.14,0.43,0.29
freedom-erp.csv,0.28,0.0,0.2,0.0,0.99,0.0,0.0,0.0,0.18,0.0,0.05,0.0
jbasic.csv,0.45,0.2,0.34,0.9,0.78,0.0,0.39,0.7,0.39,0.0,0.36,0.36
jgossipforum.csv,0.0,0.11,0.12,0.0,0.0,0.65,0.0,0.15,0.02,0.15,0.04,0.02
joustsim.csv,0.31,0.58,0.27,0.43,0.36,0.61,1.0,0.72,0.47,0.41,0.53,0.34
jsidplay2.csv,1.0,0.56,0.53,0.48,0.5,0.39,0.51,0.28,0.52,0.63,0.53,0.5
madman.csv,0.06,0.23,0.24,0.07,0.0,0.0,0.11,1.0,0.07,0.15,0.1,0.12
mule.csv,0.29,0.99,0.56,0.23,0.65,0.45,0.49,0.15,0.42,0.29,0.41,0.5
nunit.csv,0.25,0.3,0.31,0.43,0.41,0.62,0.66,0.14,0.3,0.29,0.45,0.93
power-architect.csv,0.57,0.63,0.57,0.52,0.46,0.73,0.43,0.38,1.0,0.51,0.61,0.57
reaper3d.csv,0.2,0.28,0.09,0.12,0.06,0.0,0.0,0.0,0.29,0.79,0.21,0.32
