,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.79,0.92,0.66,0.98,1.0,0.94,0.32,1.0,0.8,0.99,0.03,0.55
e-bio-flow.csv,0.72,0.64,0.0,0.58,0.64,1.01,0.58,0.51,0.93,0.92,0.73,0.81
freedom-erp.csv,0.77,1.0,0.83,1.0,0.04,1.0,1.0,1.0,0.86,1.0,0.96,1.0
jbasic.csv,0.63,0.84,0.74,0.12,0.47,1.0,0.76,0.51,0.71,1.0,0.71,0.72
jgossipforum.csv,1.0,0.91,0.9,1.0,1.0,0.4,1.0,0.88,0.98,0.88,0.97,0.97
joustsim.csv,0.76,0.59,0.78,0.82,0.86,0.55,0.0,0.46,0.61,0.77,0.69,0.72
jsidplay2.csv,0.0,0.63,0.74,0.84,0.83,0.88,0.81,0.9,0.8,0.49,0.79,0.79
madman.csv,0.96,0.81,0.8,0.94,1.0,1.0,0.91,0.0,0.94,0.88,0.92,0.9
mule.csv,0.75,0.01,0.63,0.81,0.42,0.62,0.58,0.88,0.71,0.77,0.7,0.57
nunit.csv,0.88,0.75,0.74,0.74,0.7,0.49,0.45,0.89,0.79,0.76,0.69,0.08
power-architect.csv,0.62,0.63,0.66,0.73,0.72,0.51,0.87,0.89,0.0,0.82,0.6,0.74
reaper3d.csv,0.88,0.83,0.93,0.91,0.95,1.03,1.01,1.0,0.89,0.25,0.86,0.78
