,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.75,0.62,0.52,0.49,0.58,0.02,0.37,0.14,0.81,0.07,1.0,0.3
e-bio-flow.csv,0.79,0.65,1.0,0.77,0.65,0.0,0.29,0.24,1.0,0.03,0.88,0.17
freedom-erp.csv,0.88,0.0,0.83,0.0,0.97,0.0,0.0,0.0,0.8,0.0,1.0,0.0
jbasic.csv,0.86,0.77,0.43,0.95,0.73,0.0,0.14,0.21,0.83,0.0,0.92,0.26
jgossipforum.csv,0.0,0.62,0.75,0.0,0.0,1.0,0.0,0.33,1.0,0.2,1.0,1.0
joustsim.csv,0.8,0.68,0.54,0.41,0.47,0.04,1.0,0.24,0.88,0.06,0.88,0.32
jsidplay2.csv,1.0,0.65,0.35,0.51,0.61,0.01,0.15,0.08,0.8,0.14,0.87,0.19
madman.csv,0.5,0.74,0.67,0.67,0.0,0.0,0.5,1.0,1.0,0.12,0.95,0.36
mule.csv,0.94,1.0,0.41,0.67,0.82,0.06,0.29,0.2,0.81,0.11,0.9,0.45
nunit.csv,0.62,0.78,0.57,0.47,0.63,0.05,0.3,0.1,0.78,0.17,0.89,0.97
power-architect.csv,0.79,0.66,0.4,0.48,0.57,0.04,0.15,0.09,1.0,0.08,0.91,0.22
reaper3d.csv,0.62,0.51,0.5,0.43,0.56,0.0,0.0,0.0,0.67,1.0,0.84,0.2
