,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.76,0.98,0.37,0.98,1.0,1.0,1.0,1.0,0.87,0.88,1.0,0.57
e-bio-flow.csv,0.32,0.53,1.0,0.43,0.81,0.0,0.45,1.0,0.07,0.12,0.4,0.25
freedom-erp.csv,0.24,0.0,0.17,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.04,0.0
jbasic.csv,0.41,0.17,0.3,0.89,0.86,0.0,0.36,0.75,0.35,0.0,0.32,0.32
jgossipforum.csv,0.0,0.09,0.1,0.0,0.0,0.6,0.0,0.12,0.02,0.12,0.03,0.02
joustsim.csv,0.27,0.58,0.23,0.44,0.35,0.6,1.0,0.75,0.43,0.38,0.54,0.3
jsidplay2.csv,1.0,0.57,0.57,0.9,0.95,0.4,0.73,0.25,0.83,0.62,0.69,0.57
madman.csv,0.05,0.19,0.2,0.06,0.0,0.0,0.09,1.0,0.06,0.12,0.08,0.1
mule.csv,0.25,0.99,0.57,0.19,0.62,0.4,0.45,0.12,0.39,0.25,0.37,0.45
nunit.csv,0.22,0.26,0.27,0.4,0.37,0.6,0.64,0.12,0.26,0.25,0.42,0.92
power-architect.csv,0.58,0.71,0.6,0.54,0.44,0.8,0.82,0.38,1.0,0.88,0.64,0.72
reaper3d.csv,0.17,0.25,0.07,0.1,0.05,0.0,0.0,0.0,0.26,0.75,0.18,0.28
