,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.77,0.85,0.31,0.81,0.68,0.89,0.66,0.62,0.53,0.45,0.41
azureus.csv,0.58,0.84,0.87,0.71,0.77,0.66,0.36,0.57,0.82,0.61,0.56
forester-atv.csv,0.56,0.41,0.8,0.84,0.77,0.72,0.88,0.84,0.55,1.07,0.84
gabel.csv,1.0,0.53,0.53,0.82,0.37,0.47,0.7,0.58,0.88,0.79,0.82
google-collections.csv,0.19,1.0,1.0,1.0,1.0,1.0,0.96,0.8,1.0,1.0,0.97
javaprofiler.csv,0.44,0.86,0.6,0.83,0.67,0.97,0.76,0.69,0.62,0.6,0.26
mycila.csv,1.01,0.72,0.9,0.77,0.8,0.37,0.57,0.72,1.01,0.88,0.88
neodatis-odb.csv,1.1,0.89,0.73,0.45,0.91,0.66,0.52,0.89,0.89,0.72,0.52
pokenetonline.csv,0.44,0.88,0.97,0.85,0.84,0.75,0.92,0.31,0.72,0.81,0.79
rcp-company-uibindings.csv,0.28,0.71,0.62,0.82,0.5,0.61,0.56,0.73,0.66,0.14,0.81
servicestack.csv,0.99,0.45,0.63,0.79,1.0,0.92,0.89,0.9,0.34,0.92,0.97
