,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.74,0.83,0.54,0.3,0.89,0.83,0.09,0.99,0.68,0.07,0.9,0.33,0.05,0.84,0.37
cme.csv,0.05,0.17,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.25,0.0,0.1,0.16,0.04
hydrate.csv,0.31,0.25,0.43,0.0,0.13,0.17,0.0,0.09,0.07,0.14,0.36,0.17,0.1,0.53,0.13
ivef-sdk.csv,0.44,0.25,0.48,0.5,0.6,0.0,0.57,0.0,0.79,0.72,0.07,1.0,0.0,0.05,0.62
jmri.csv,0.13,0.08,0.31,0.4,0.36,0.13,0.54,0.11,0.18,0.28,0.27,0.33,0.1,0.26,0.9
jython.csv,0.92,0.83,0.49,0.9,0.89,0.8,0.97,0.16,0.93,0.6,0.83,0.83,0.71,0.74,0.96
kdenlive.csv,0.31,0.42,0.39,0.85,0.53,0.83,0.34,0.99,0.59,0.3,0.83,0.33,0.33,0.74,0.65
opentibia.csv,0.28,0.25,0.27,0.4,0.58,0.03,0.77,0.97,0.09,0.09,0.58,0.0,0.95,0.84,0.37
projectfactory.csv,0.21,0.17,0.4,0.2,0.36,0.4,0.34,1.0,0.46,0.37,0.81,0.0,0.67,0.79,0.35
runuomondains.csv,0.13,0.08,0.52,0.4,0.43,0.97,0.74,0.13,0.2,0.79,0.14,0.0,0.76,0.47,0.75
somap.csv,1.0,1.0,0.82,0.85,0.85,1.0,0.86,1.0,1.0,0.81,0.97,0.0,1.0,1.0,0.75
taverna.csv,0.03,0.08,0.15,0.25,0.26,0.1,0.6,0.01,0.08,0.67,0.02,0.0,0.14,0.0,0.15
tigermud.csv,0.23,0.25,0.53,0.05,0.25,0.67,0.2,0.95,0.05,0.12,0.31,0.0,0.43,0.63,0.33
unbvision.csv,0.41,0.17,0.17,0.7,0.4,1.0,0.63,0.16,0.24,0.19,0.56,0.17,0.19,0.42,0.92
x-ray-mule.csv,0.26,0.0,0.16,0.35,0.51,0.0,0.29,0.0,0.8,0.67,0.0,0.33,0.1,0.05,0.19
