,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.9,0.95,0.0,0.71,0.0,0.0,0.9,0.5,0.52,0.59,0.0,0.94,0.86,0.92,0.48,0.9,0.0
dvd-create.csv,0.4,0.46,0.48,0.0,0.4,0.47,0.58,0.41,0.37,0.34,0.41,0.32,0.39,0.49,0.43,0.39,0.51,0.43
echongl.csv,0.5,0.55,0.88,0.4,0.56,0.86,0.0,0.83,0.8,0.36,0.55,0.91,0.62,0.46,0.94,0.41,0.84,0.75
empserver.csv,0.58,0.48,0.38,0.38,0.53,0.53,0.72,0.45,0.47,0.29,0.4,0.41,0.35,0.42,0.67,0.38,0.55,0.75
gdis.csv,0.47,0.58,0.71,0.38,0.61,0.6,0.83,0.65,0.4,0.35,0.9,0.36,0.49,0.6,0.79,0.4,0.66,0.53
gmerlin.csv,0.36,0.67,0.0,0.0,0.44,0.33,0.44,0.41,0.37,0.86,0.37,0.33,0.41,0.66,0.34,0.39,0.93,0.41
growl-for-windows.csv,0.83,0.0,0.0,0.0,0.91,0.88,0.67,0.43,0.73,0.0,0.59,0.67,0.5,0.9,0.67,0.39,0.0,0.86
mpgravity.csv,0.4,0.54,0.61,0.58,0.42,0.41,0.57,0.41,0.4,0.31,0.39,0.33,0.4,0.43,0.43,0.39,0.53,0.42
myfaces.csv,0.47,0.64,0.45,0.38,0.57,0.39,0.46,0.75,0.86,0.34,0.92,0.29,0.52,0.5,0.78,0.44,0.67,0.47
nativeclient.csv,0.47,0.52,0.37,0.38,0.53,0.5,0.55,0.78,0.6,0.35,0.44,0.33,0.55,0.43,0.53,0.43,0.54,0.53
passwordsafe.csv,0.92,0.81,0.87,0.83,0.48,0.93,0.98,0.9,0.48,0.34,0.66,0.62,0.53,0.63,0.85,0.43,0.86,0.67
phonon-vlc-mplayer.csv,0.5,0.86,0.67,0.86,0.46,0.72,0.68,0.5,0.56,0.39,0.96,0.45,0.68,0.86,0.58,0.48,0.7,0.52
ppcboot.csv,0.39,0.47,0.44,0.38,0.42,0.43,0.85,0.41,0.4,0.3,0.45,0.38,0.38,0.43,0.58,0.41,0.51,0.42
rtrt-on-gpu.csv,0.48,0.49,0.41,0.5,0.56,0.44,0.41,0.73,0.77,0.46,0.44,0.36,0.46,0.42,0.62,0.48,0.51,0.67
sandiaportals.csv,0.55,0.84,0.82,0.75,0.44,0.65,0.92,0.81,0.48,0.37,0.61,0.6,0.65,0.65,0.79,0.47,0.74,0.44
tktoolkit.csv,0.94,0.55,0.78,0.45,0.47,0.59,0.8,0.62,0.39,0.34,0.59,0.52,0.46,0.59,0.43,0.44,0.6,0.71
ultimairis.csv,0.39,0.86,0.4,0.0,0.44,0.46,0.59,0.0,0.82,0.4,0.66,0.33,0.74,0.53,0.84,0.47,0.61,0.41
wikipediardware.csv,0.4,0.46,0.36,0.48,0.42,0.39,0.54,0.53,0.38,0.29,0.38,0.32,0.35,0.43,0.51,0.38,0.5,0.47
