,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.98,0.4,0.09,0.59,0.19,0.23,0.46,0.23,0.14,0.33,0.5
ivef-sdk.csv,0.79,0.73,1.0,0.89,0.34,0.09,0.15,0.73,0.77,0.86,0.17
jaolt.csv,0.51,0.8,0.34,0.76,1.0,0.64,0.31,0.55,0.55,0.5,0.58
jmule.csv,0.65,0.53,0.06,0.46,0.68,1.0,0.69,0.5,0.32,0.56,0.88
jstock.csv,0.28,0.4,0.03,0.38,0.27,0.32,1.0,0.09,0.18,0.53,0.08
lphant.csv,0.44,0.67,0.55,0.57,0.63,0.91,0.54,0.64,0.18,0.47,0.58
novembre.csv,0.05,1.0,0.04,0.19,0.22,0.05,0.08,0.27,0.14,0.22,0.04
oorexx.csv,0.65,0.8,0.55,0.81,0.75,0.68,0.38,0.73,0.59,0.94,0.88
pi-qmc.csv,0.4,0.53,0.09,0.19,0.48,0.36,0.38,1.0,0.18,0.25,0.38
qedo.csv,0.19,0.07,0.0,0.03,0.08,0.18,0.08,0.23,0.95,0.22,0.17
yaprm.csv,0.51,0.53,0.43,1.0,0.29,0.18,0.77,0.36,0.18,0.53,0.38
