,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.98,0.3,0.46,0.52,0.64,0.71,0.33,0.42,0.05,0.5,0.46
ivef-sdk.csv,0.63,0.35,1.0,0.52,0.74,0.33,0.09,0.52,0.12,0.62,0.4
jaolt.csv,0.58,0.33,0.82,0.48,1.0,0.64,0.17,0.44,0.11,0.67,0.67
jmule.csv,0.57,0.31,0.67,0.44,0.78,0.43,0.3,0.52,0.05,0.59,1.0
jstock.csv,0.67,0.35,1.0,0.56,0.74,0.47,1.0,0.2,0.21,0.79,0.5
lphant.csv,0.53,0.3,0.8,0.48,0.77,1.0,0.35,0.47,0.03,0.71,0.54
novembre.csv,0.4,1.0,0.75,0.64,0.8,0.2,0.1,0.55,0.1,0.5,0.5
oorexx.csv,0.65,0.3,0.59,0.51,0.71,0.48,0.16,0.31,0.14,0.97,0.54
pi-qmc.csv,0.65,0.31,0.46,0.47,0.78,0.47,0.33,1.0,0.07,0.56,0.45
qedo.csv,0.62,0.25,0.0,0.33,0.6,0.36,0.14,0.42,1.0,0.62,0.5
yaprm.csv,0.58,0.36,0.78,1.0,0.72,0.29,0.4,0.44,0.11,0.66,0.38
