,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.44,0.65,0.77,0.43,0.91,0.86,0.61,0.92,0.8,0.54,0.42
ivef-sdk.csv,0.43,0.45,0.61,0.35,0.91,0.83,0.73,0.52,0.83,0.42,0.9
jaolt.csv,0.45,0.33,0.79,0.34,0.41,0.45,0.5,0.56,0.64,0.52,0.48
jmule.csv,0.41,0.42,0.83,0.49,0.39,0.33,0.43,0.71,0.43,0.44,0.52
jstock.csv,0.67,0.65,0.5,0.68,0.78,0.73,0.77,0.9,0.95,0.58,0.75
lphant.csv,0.47,0.42,0.7,0.43,0.35,0.5,0.55,0.47,0.47,0.46,0.38
novembre.csv,0.8,0.67,0.75,0.91,0.95,0.8,0.9,0.73,0.97,0.88,0.5
oorexx.csv,0.37,0.38,0.49,0.36,0.4,0.45,0.42,0.54,0.54,0.49,0.36
pi-qmc.csv,0.65,0.5,0.69,0.87,0.53,0.71,0.6,0.59,0.56,0.75,0.6
qedo.csv,0.92,0.75,0.83,0.67,0.9,0.91,0.86,0.92,0.95,0.92,0.88
yaprm.csv,0.61,0.64,0.81,0.51,0.86,0.93,0.6,0.78,0.97,0.52,0.62
