,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.98,0.43,0.11,0.56,0.22,0.27,0.5,0.27,0.17,0.36,0.5
ivef-sdk.csv,0.65,0.67,1.0,0.54,0.38,0.11,0.18,0.73,0.68,0.57,0.2
jaolt.csv,0.51,0.67,0.39,0.5,1.0,0.66,0.34,0.58,0.56,0.52,0.61
jmule.csv,0.55,0.53,0.07,0.45,0.64,0.41,0.64,0.54,0.34,0.53,0.9
jstock.csv,0.32,0.44,0.04,0.42,0.31,0.36,1.0,0.11,0.21,0.57,0.1
lphant.csv,0.45,0.6,0.57,0.52,0.6,0.93,0.57,0.65,0.2,0.51,0.58
novembre.csv,0.06,1.0,0.05,0.23,0.26,0.06,0.1,0.31,0.17,0.25,0.05
oorexx.csv,0.62,0.6,0.33,0.55,0.53,0.64,0.38,0.61,0.61,0.94,0.7
pi-qmc.csv,0.44,0.53,0.11,0.22,0.51,0.4,0.42,1.0,0.21,0.29,0.41
qedo.csv,0.22,0.09,0.0,0.04,0.1,0.21,0.1,0.27,0.96,0.26,0.2
yaprm.csv,0.51,0.55,0.47,1.0,0.33,0.21,0.74,0.41,0.21,0.54,0.4
