,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.98,0.34,0.15,0.56,0.29,0.34,0.39,0.29,0.07,0.4,0.48
ivef-sdk.csv,0.7,0.48,1.0,0.66,0.47,0.14,0.11,0.6,0.2,0.72,0.24
jaolt.csv,0.54,0.47,0.48,0.59,1.0,0.64,0.22,0.49,0.18,0.57,0.62
jmule.csv,0.61,0.39,0.11,0.45,0.73,0.6,0.42,0.51,0.08,0.57,0.93
jstock.csv,0.39,0.38,0.06,0.45,0.4,0.38,1.0,0.13,0.2,0.63,0.14
lphant.csv,0.48,0.42,0.65,0.52,0.69,0.95,0.42,0.54,0.05,0.57,0.56
novembre.csv,0.08,1.0,0.08,0.29,0.34,0.07,0.09,0.36,0.12,0.31,0.08
oorexx.csv,0.65,0.44,0.57,0.62,0.73,0.57,0.23,0.43,0.23,0.96,0.67
pi-qmc.csv,0.49,0.39,0.15,0.27,0.59,0.41,0.36,1.0,0.1,0.35,0.41
qedo.csv,0.29,0.11,0.0,0.05,0.14,0.24,0.1,0.29,0.98,0.33,0.25
yaprm.csv,0.54,0.43,0.56,1.0,0.41,0.22,0.53,0.4,0.14,0.58,0.38
