,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.03,0.35,0.23,0.53,0.28,0.06,0.28,0.12,0.26,0.48,0.48
ivef-sdk.csv,0.62,0.5,0.0,0.79,0.31,0.12,0.47,0.27,0.53,0.76,0.21
jaolt.csv,0.5,0.6,0.17,0.79,0.0,0.24,0.47,0.27,0.41,0.36,0.24
jmule.csv,0.66,0.45,0.07,0.58,0.48,0.88,0.49,0.18,0.57,0.56,0.0
jstock.csv,0.19,0.28,0.0,0.29,0.24,0.24,0.0,0.14,0.06,0.2,0.07
lphant.csv,0.53,0.57,0.3,0.61,0.48,0.0,0.3,0.29,0.57,0.28,0.41
novembre.csv,0.09,0.0,0.03,0.11,0.14,0.12,0.21,0.09,0.11,0.32,0.03
oorexx.csv,0.47,0.7,0.87,0.76,0.76,0.48,0.6,0.64,0.32,0.04,0.62
pi-qmc.csv,0.28,0.45,0.23,0.21,0.34,0.27,0.23,0.0,0.24,0.28,0.38
qedo.csv,0.16,0.08,0.2,0.05,0.14,0.21,0.14,0.12,0.0,0.2,0.14
yaprm.csv,0.5,0.35,0.27,0.0,0.28,0.3,0.35,0.18,0.13,0.4,0.52
