,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.56,0.35,0.89,0.34,0.49,0.47,0.4,0.44,0.46,0.42,0.38
google-gears.csv,0.4,0.53,0.44,0.43,0.43,0.49,0.4,0.46,0.42,0.46,0.57
grafx2.csv,0.83,0.33,0.89,0.53,0.53,0.54,0.41,0.54,0.68,0.49,0.52
kmess.csv,0.73,0.34,0.0,0.37,0.49,0.46,0.42,0.41,0.88,0.49,0.39
megameknet.csv,0.75,0.36,0.0,0.38,0.69,0.76,0.42,0.69,0.0,0.68,0.46
minig.csv,0.42,0.4,0.44,0.54,0.43,0.39,0.37,0.44,0.37,0.41,0.35
ns-3.csv,0.41,0.53,0.89,0.35,0.42,0.47,0.41,0.46,0.55,0.45,0.38
omseek.csv,0.0,0.5,0.0,0.32,0.86,0.91,0.76,0.54,0.0,0.0,0.38
quickfast.csv,0.4,0.53,0.44,0.37,0.43,0.46,0.41,0.46,0.42,0.46,0.36
sylpheed-claws.csv,0.39,0.52,0.41,0.35,0.41,0.46,0.39,0.45,0.38,0.42,0.38
xamj.csv,0.95,0.67,0.0,0.35,0.48,0.46,0.36,0.42,0.0,0.6,0.37
