,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.73,0.41,0.93,0.9,0.67,0.71,0.83,0.72,0.41,0.52,1.0
google-gears.csv,1.0,0.97,1.0,0.71,0.98,0.9,0.89,0.76,1.0,1.0,0.64
grafx2.csv,0.82,0.3,0.93,0.62,0.46,0.5,0.55,0.62,0.67,0.5,0.58
kmess.csv,0.8,0.37,1.0,0.92,0.58,0.48,0.53,0.63,0.92,0.67,1.0
megameknet.csv,0.98,0.26,1.0,0.64,0.64,0.49,0.61,0.75,1.0,0.62,0.92
minig.csv,0.73,0.51,1.0,0.42,0.73,0.53,0.68,0.73,0.82,0.66,0.59
ns-3.csv,0.74,1.0,0.92,0.97,0.91,0.91,1.0,1.0,0.68,0.7,1.0
omseek.csv,1.0,0.95,1.0,0.89,0.85,0.9,0.73,0.66,1.0,1.0,1.0
quickfast.csv,1.0,1.0,1.0,0.89,1.0,0.99,1.0,1.0,1.0,1.0,0.3
sylpheed-claws.csv,0.8,0.97,0.47,0.99,0.93,1.0,0.95,0.92,0.81,0.8,1.0
xamj.csv,0.87,0.72,1.0,0.87,0.49,0.5,0.59,0.58,1.0,0.51,0.85
