,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.43,0.74,0.13,0.56,0.21,0.41,0.73,0.81,0.69,0.54,0.74
google-gears.csv,0.8,0.7,0.65,0.5,0.2,0.37,0.76,0.87,0.63,0.46,0.51
grafx2.csv,0.3,0.8,0.13,0.46,0.3,0.51,0.65,0.56,0.46,0.52,0.57
kmess.csv,0.37,0.76,0.0,0.52,0.25,0.47,0.8,0.73,0.14,0.51,0.72
megameknet.csv,0.04,0.82,0.0,0.54,0.26,0.61,0.58,0.4,0.0,0.46,0.61
minig.csv,0.75,0.69,0.65,0.66,0.21,0.45,0.71,0.71,0.6,0.47,0.71
ns-3.csv,0.79,0.69,0.15,0.54,0.21,0.37,0.77,0.86,0.44,0.47,0.75
omseek.csv,0.0,0.09,0.0,0.55,0.25,0.18,0.41,0.5,0.0,0.0,0.75
quickfast.csv,0.8,0.69,0.65,0.53,0.2,0.37,0.77,0.86,0.63,0.46,0.83
sylpheed-claws.csv,0.77,0.69,0.65,0.54,0.21,0.37,0.76,0.86,0.65,0.51,0.75
xamj.csv,0.22,0.44,0.0,0.54,0.3,0.45,0.63,0.65,0.0,0.57,0.75
