,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.73,0.72,0.89,0.39,0.12,0.27,0.64,0.79,0.69,0.41,0.59
google-gears.csv,0.66,0.54,0.48,0.39,0.11,0.23,0.64,0.8,0.46,0.3,0.78
grafx2.csv,0.77,0.82,0.89,0.45,0.19,0.51,0.73,0.86,0.68,0.47,0.78
kmess.csv,0.63,0.75,0.0,0.37,0.15,0.35,0.74,0.8,0.62,0.36,0.58
megameknet.csv,0.75,0.83,0.0,0.42,0.19,0.78,0.71,0.94,0.0,0.53,0.54
minig.csv,0.69,0.66,0.48,0.72,0.12,0.32,0.67,0.76,0.47,0.34,0.67
ns-3.csv,0.71,0.53,1.0,0.37,0.12,0.23,0.63,0.76,0.58,0.34,0.59
omseek.csv,0.0,1.0,0.0,0.39,0.71,0.64,0.79,0.89,0.0,0.0,0.59
quickfast.csv,0.66,0.53,0.48,0.38,0.11,0.23,0.63,0.76,0.46,0.3,0.83
sylpheed-claws.csv,0.69,0.53,0.67,0.37,0.12,0.22,0.63,0.77,0.5,0.35,0.59
xamj.csv,0.9,1.0,0.0,0.38,0.19,0.34,0.71,0.83,0.0,0.66,0.62
