,recall,precision,pf,cdom,bellwether
1,0.55,0.37,0.3,8.0,beast-mcmc.csv
12,0.74,0.845,0.48,1.0,gpsmid.csv
15,0.6,0.43,0.33,12.0,clamav.csv
29,0.49,0.46,0.35,19.0,xemeiah.csv
50,0.71,0.41500000000000004,0.26,4.0,octave.csv
56,0.66,0.38,0.325,2.0,etherboot.csv
60,0.45,0.29,0.23,8.0,mpqc.csv
11,0.91,0.9550000000000001,0.91,0.0,atunes.csv
