,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.42,0.31,0.1,0.49,0.54,0.41,0.51,0.27,0.2,0.38,0.29,0.41,0.61,0.1,0.0,0.59,0.23,0.3,0.27
bulmages.csv,0.44,0.46,0.0,0.36,0.44,0.17,0.35,0.34,0.21,0.36,0.5,0.39,0.05,0.1,0.0,0.25,0.4,0.35,0.17
forester-atv.csv,0.42,0.83,0.67,0.27,0.77,0.28,0.16,0.49,0.36,0.47,0.47,0.17,0.33,0.42,0.1,0.09,0.08,0.42,0.0
google-collections.csv,0.66,0.9,0.62,0.63,0.55,0.5,0.21,0.77,0.21,0.34,0.9,0.34,0.86,0.64,0.15,0.6,0.45,0.4,0.11
hannosset.csv,0.27,0.68,0.1,0.25,0.18,0.4,0.02,0.57,0.02,0.0,0.28,0.24,0.38,0.21,0.38,0.33,0.1,0.06,0.06
jbpm.csv,0.06,0.0,0.0,0.31,0.35,0.11,0.3,0.0,0.58,0.0,0.04,0.0,0.19,0.0,0.0,0.0,0.0,0.12,0.2
mevenide.csv,0.38,0.4,0.02,0.3,0.47,0.31,0.36,0.05,0.44,0.54,0.31,0.21,0.18,0.23,0.0,0.14,0.08,0.6,0.2
nassp.csv,0.55,0.74,0.02,0.45,0.49,0.44,0.31,0.44,0.11,0.71,0.39,0.31,0.53,0.09,0.12,0.2,0.19,0.21,0.0
open-media-library.csv,0.58,0.26,0.65,0.69,0.63,0.51,0.25,0.62,0.28,0.46,0.79,0.44,0.77,0.65,0.04,0.56,0.27,0.42,0.15
opendvr.csv,0.41,0.66,0.69,0.56,0.62,0.51,0.17,0.33,0.37,0.38,0.59,0.34,0.73,0.39,0.18,0.44,0.64,0.26,0.11
openefm.csv,0.63,0.16,0.64,0.49,0.25,0.61,0.17,0.68,0.21,0.41,0.8,0.36,0.59,0.62,0.14,0.36,0.41,0.41,0.05
oppna-program-hsatools.csv,0.63,0.81,0.65,0.61,0.53,0.45,0.21,0.38,0.27,0.35,0.92,0.39,0.25,0.6,0.27,0.52,0.42,0.4,0.04
paintown.csv,0.73,0.94,0.65,0.57,0.51,0.43,0.28,0.59,0.22,0.33,0.91,0.35,0.82,0.63,0.2,0.46,0.24,0.4,0.04
projectfactory.csv,0.56,0.33,0.61,0.52,0.64,0.52,0.25,0.54,0.3,0.41,0.63,0.34,0.74,0.6,0.1,0.53,0.3,0.4,0.17
smbopensoft.csv,0.5,0.85,0.8,0.59,0.6,0.42,0.13,0.75,0.22,0.26,0.47,0.21,0.84,0.55,0.16,0.41,0.43,0.07,0.13
st-filteredstatistics.csv,0.66,0.62,0.6,0.63,0.33,0.51,0.21,0.7,0.22,0.37,0.78,0.34,0.85,0.63,0.15,0.51,0.51,0.39,0.1
thedata.csv,0.62,0.88,0.65,0.42,0.62,0.37,0.18,0.66,0.11,0.41,0.7,0.4,0.78,0.64,0.14,0.58,0.36,0.25,0.67
trackit.csv,0.4,0.46,0.02,0.28,0.24,0.27,0.2,0.68,0.08,0.17,0.54,0.18,0.7,0.31,0.08,0.4,0.42,0.38,0.1
wxstudio.csv,0.4,0.7,0.23,0.39,0.2,0.34,0.19,0.31,0.18,0.0,0.64,0.27,0.22,0.22,0.21,0.71,0.22,0.16,0.12
