,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.65,0.75,0.83,0.61,0.38,0.58,0.64,0.56,0.69,0.42,0.81,0.4,0.36,0.67,0.43,0.41,0.5,0.64,0.89
bulmages.csv,0.64,0.62,0.0,0.71,0.59,0.93,0.98,0.83,0.98,0.41,0.65,0.39,0.0,0.67,0.0,0.61,0.69,0.56,0.88
forester-atv.csv,0.78,0.43,0.29,0.91,0.44,0.94,0.96,0.6,0.73,0.55,0.85,0.93,0.9,0.71,0.54,0.89,0.5,0.62,0.5
google-collections.csv,0.43,0.36,0.28,0.33,0.35,0.36,0.36,0.4,0.41,0.36,0.39,0.44,0.29,0.38,0.37,0.48,0.44,0.45,0.36
hannosset.csv,0.93,0.56,0.95,0.74,0.88,0.51,0.98,0.76,0.99,0.67,0.95,0.95,0.69,0.89,0.85,0.83,0.95,0.83,0.52
jbpm.csv,0.5,0.0,0.0,0.91,0.64,0.67,0.98,0.0,0.79,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.83
mevenide.csv,0.71,0.65,0.5,0.92,0.75,0.92,0.98,0.0,0.98,0.57,0.9,0.88,0.8,0.71,0.8,0.86,0.5,0.74,0.83
nassp.csv,0.57,0.36,0.0,0.62,0.8,0.73,0.98,0.64,0.97,0.53,0.81,0.61,0.52,0.8,0.91,0.77,0.78,0.9,0.75
open-media-library.csv,0.5,0.93,0.27,0.49,0.36,0.45,0.52,0.58,0.46,0.48,0.52,0.45,0.32,0.39,0.41,0.41,0.45,0.51,0.89
opendvr.csv,0.68,0.44,0.28,0.32,0.29,0.43,0.44,0.69,0.5,0.43,0.46,0.74,0.34,0.52,0.67,0.54,0.71,0.55,0.6
openefm.csv,0.5,0.86,0.34,0.62,0.62,0.56,0.98,0.47,0.54,0.64,0.51,0.46,0.58,0.51,0.38,0.79,0.55,0.47,0.5
oppna-program-hsatools.csv,0.47,0.41,0.27,0.42,0.41,0.45,0.37,0.59,0.48,0.34,0.44,0.37,0.89,0.4,0.88,0.36,0.53,0.45,0.35
paintown.csv,0.42,0.43,0.27,0.42,0.41,0.45,0.45,0.61,0.41,0.38,0.43,0.39,0.31,0.38,0.79,0.42,0.56,0.45,0.4
projectfactory.csv,0.51,0.82,0.38,0.62,0.38,0.45,0.95,0.5,0.49,0.71,0.54,0.48,0.32,0.53,0.37,0.43,0.48,0.55,0.5
smbopensoft.csv,0.53,0.46,0.39,0.41,0.33,0.5,0.6,0.44,0.5,0.69,0.63,0.81,0.29,0.68,0.4,0.67,0.49,0.0,0.7
st-filteredstatistics.csv,0.45,0.53,0.3,0.35,0.49,0.48,0.36,0.44,0.47,0.43,0.5,0.59,0.38,0.37,0.51,0.5,0.51,0.46,0.37
thedata.csv,0.48,0.45,0.27,0.74,0.51,0.45,0.4,0.52,0.57,0.34,0.55,0.37,0.33,0.44,0.34,0.38,0.44,0.63,0.88
trackit.csv,0.77,0.83,0.0,0.72,0.94,0.88,0.73,0.53,0.74,0.75,0.73,0.83,0.43,0.72,0.48,0.79,0.7,0.78,0.42
wxstudio.csv,0.79,0.44,0.96,0.48,0.73,0.93,0.41,0.56,0.96,0.89,0.45,0.71,0.83,0.8,0.92,0.46,0.79,0.85,0.38
