,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.77,0.52,0.19,0.15,0.05,0.17,0.85,0.0
fceugc.csv,0.09,0.3,0.67,0.36,0.45,0.31,0.74,0.53
ftm.csv,0.31,0.35,0.24,0.18,0.45,0.23,0.67,0.59
google-gears.csv,0.85,0.74,0.38,0.9,0.85,0.72,0.89,0.88
jaolt.csv,0.02,0.52,0.76,0.73,0.54,0.31,0.69,0.79
jcache.csv,0.97,0.65,0.76,0.42,0.86,0.88,0.21,0.91
kmess.csv,0.0,0.26,0.67,0.1,0.78,0.02,0.34,0.65
xmemcached.csv,1.0,0.74,0.67,0.44,0.65,0.87,0.28,0.62
