,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.54,0.43,0.43,0.28,0.74,1.0,0.0,0.52,0.1,0.45,0.24,0.09,0.29
fontforge.csv,0.15,0.2,0.48,0.5,0.36,0.23,0.0,0.98,0.33,0.41,0.19,0.32,0.2
gmerlin.csv,0.39,0.45,0.48,0.53,0.48,0.43,0.12,0.59,0.17,0.61,0.18,0.97,0.25
hatari.csv,0.45,0.53,0.96,0.43,0.56,0.45,0.14,0.37,0.23,0.55,0.24,0.36,0.32
jcl.csv,0.13,0.24,0.3,0.25,0.44,0.2,0.0,0.15,0.09,0.65,1.0,0.1,0.33
ltp.csv,0.05,0.23,0.28,0.21,1.0,0.08,0.0,0.14,0.07,0.05,0.21,0.11,0.0
net-snmp.csv,0.98,0.37,0.47,0.19,0.59,0.41,0.2,0.52,0.25,0.36,0.27,0.4,0.32
opde.csv,0.47,0.43,0.51,0.94,0.54,0.48,0.0,0.23,0.15,0.66,0.19,0.4,0.47
powerfolder-.csv,0.13,0.98,0.17,0.37,0.41,0.23,0.0,0.29,0.17,0.2,0.18,0.0,0.32
qlc.csv,0.17,0.15,0.07,0.22,0.0,0.08,0.0,0.34,0.94,0.19,0.19,0.15,0.36
tcl.csv,0.23,0.25,0.22,0.25,0.32,0.45,0.0,0.45,0.2,0.99,0.34,0.23,0.37
wxstudio.csv,0.23,0.29,0.39,0.22,0.01,0.22,0.13,0.18,0.34,0.36,0.13,0.37,0.99
