,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.46,0.05,0.83,0.83,0.95,0.77,0.74,0.76,0.81,0.84,0.57,0.74,0.68
freewrl.csv,0.68,0.59,0.85,0.5,0.78,0.06,0.7,0.6,0.81,0.97,0.32,0.65,0.67
fulguro.csv,0.8,0.84,0.4,0.87,0.69,0.82,0.95,0.89,0.85,0.79,1.05,0.09,0.83
google-web-toolkit.csv,0.72,0.93,0.95,0.45,0.77,0.84,0.0,0.66,0.68,0.78,0.75,0.81,0.75
jcache.csv,0.91,0.92,0.91,0.83,0.93,0.96,0.74,0.94,0.92,0.9,0.03,0.85,0.84
jstock.csv,0.64,0.93,0.94,0.64,0.63,1.0,0.83,0.86,0.08,0.79,0.71,0.83,0.92
mimosa.csv,0.74,0.98,0.96,0.02,0.65,1.0,0.67,0.7,0.68,0.54,0.33,0.71,0.81
miranda.csv,0.56,0.74,0.76,0.78,0.68,0.96,0.81,0.71,0.77,0.72,0.59,0.62,0.02
ns-3-dev-def-routing.csv,0.6,0.91,0.7,0.92,0.74,0.68,0.85,0.1,0.92,0.7,0.91,0.93,0.64
ossbuild.csv,0.53,0.68,0.06,0.67,0.39,0.72,0.75,0.56,0.77,0.71,0.79,0.85,0.57
qtractor.csv,0.0,0.82,0.6,0.51,0.79,0.61,0.76,0.53,0.71,0.76,0.47,0.75,0.55
quarkplayer.csv,0.94,0.79,1.0,1.0,0.18,0.71,0.97,0.9,0.91,0.67,1.0,1.01,0.99
synergyspace.csv,0.97,0.87,0.76,0.98,0.93,0.82,0.87,0.84,0.85,0.08,1.0,1.01,0.95
