,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,3.0,0.0,10.0,25.0,16.0,0.0,0.0,1.0,3.0,1.0
haphazard.csv,1.0,8.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0
jicarilla.csv,0.0,150.0,2.0,281.0,125.0,49.0,0.0,0.0,64.0,195.0
ondex.csv,1.0,1.0,69.0,32.0,2.0,1.0,63.0,1.0,0.0,0.0
optalgtoolkit.csv,0.0,7.0,3.0,45.0,7.0,3.0,0.0,0.0,0.0,42.0
ossim.csv,1.0,0.0,1.0,10.0,125.0,3.0,0.0,0.0,6.0,6.0
projectts.csv,2.0,1.0,5.0,25.0,8.0,1.0,0.0,0.0,0.0,1.0
sabbu.csv,0.0,2.0,2.0,44.0,12.0,0.0,3.0,1.0,0.0,2.0
vxl.csv,1.0,0.0,1.0,17.0,11.0,8.0,0.0,0.0,0.0,0.0
zact.csv,4.0,4.0,1.0,47.0,4.0,49.0,1.0,1.0,0.0,0.0
